ImageName, PSNR, SSIM, MSE
L286_frame003,37.6981,0.9588,8.282124
L286_frame004,37.7154,0.9615,7.887524
L286_frame005,37.7850,0.9622,7.753666
L286_frame006,37.7911,0.9607,7.989365
L286_frame007,37.9544,0.9624,7.842297
L286_frame008,37.9927,0.9620,8.045715
L286_frame009,38.0323,0.9621,7.838722
L286_frame010,38.0513,0.9639,7.516846
L286_frame011,38.0787,0.9634,7.496769
L286_frame012,37.9055,0.9624,7.506096
L286_frame013,37.9479,0.9629,7.600937
L286_frame014,37.9485,0.9630,7.406342
L286_frame015,37.8124,0.9597,7.930599
L286_frame016,37.9648,0.9606,7.806709
L286_frame017,37.8878,0.9601,7.873394
L286_frame018,37.7666,0.9572,8.266407
L286_frame019,37.9556,0.9562,8.398949
L286_frame020,37.9039,0.9535,8.672989
L286_frame021,37.7390,0.9485,9.241859
L286_frame022,37.7660,0.9475,9.264088
L286_frame023,37.7293,0.9460,9.376804
L286_frame024,37.5329,0.9419,9.796181
L286_frame025,37.5557,0.9420,9.692387
L286_frame026,37.4823,0.9403,9.857597
L286_frame027,37.3195,0.9360,10.406628
L286_frame028,37.3748,0.9382,10.146595
L286_frame029,37.3472,0.9364,10.308468
L286_frame030,37.1568,0.9316,10.891010
L286_frame031,37.2575,0.9332,10.671631
L286_frame032,37.1803,0.9316,10.736626
L286_frame033,37.0254,0.9271,11.248005
L286_frame034,37.0428,0.9285,10.942692
L286_frame035,36.9956,0.9287,10.813644
L286_frame036,36.8399,0.9260,11.011181
L286_frame037,36.9116,0.9294,10.415890
L286_frame038,36.7140,0.9260,10.920704
L286_frame039,36.5926,0.9230,11.097809
L286_frame040,36.5793,0.9236,10.974438
L286_frame041,36.6452,0.9214,11.332691
L286_frame042,36.5443,0.9152,12.042431
L286_frame043,36.7169,0.9173,11.805981
L286_frame044,36.7238,0.9160,11.955887
L286_frame045,36.4751,0.9101,12.618416
L286_frame046,36.5637,0.9139,12.019176
L286_frame047,36.4628,0.9101,12.390491
L286_frame048,36.3349,0.9061,12.781658
L286_frame049,36.4862,0.9114,12.066616
L286_frame050,36.3787,0.9097,12.383503
L286_frame051,36.0892,0.9020,13.356796
L286_frame052,36.1982,0.9067,12.629288
L286_frame053,36.0921,0.9058,12.746750
L286_frame054,36.0480,0.9044,12.886353
L286_frame055,36.1131,0.9057,12.830746
L286_frame056,36.1663,0.9056,12.845863
L286_frame057,36.0181,0.9003,13.576004
L286_frame058,36.0988,0.9005,13.671387
L286_frame059,36.2032,0.9025,13.155361
L286_frame060,35.9579,0.8999,13.304298
L286_frame061,36.1251,0.9031,12.980957
L286_frame062,36.1218,0.9025,13.007000
L286_frame063,35.8373,0.8937,14.259716
L286_frame064,35.9585,0.8966,13.971802
L286_frame065,35.9074,0.8961,13.985455
L286_frame066,35.7028,0.8901,14.759945
L286_frame067,35.7973,0.8933,14.197926
L286_frame068,35.7393,0.8939,14.136890
L286_frame069,35.6192,0.8889,14.812893
L286_frame070,35.8563,0.8947,14.050907
L286_frame071,35.8212,0.8951,13.976070
L286_frame072,35.7152,0.8922,14.247231
L286_frame073,35.9391,0.9004,13.040600
L286_frame074,35.9855,0.9042,12.372581
L286_frame075,35.8470,0.9030,12.260185
L286_frame076,35.8521,0.9094,11.423618
L286_frame077,35.7934,0.9134,10.781689
L286_frame078,35.6463,0.9055,11.993088
L286_frame079,35.8890,0.9084,11.845104
L286_frame080,35.7766,0.9090,11.680214
L286_frame081,35.6340,0.9030,12.247318
L286_frame082,35.8833,0.9060,12.028336
L286_frame083,35.8355,0.9005,13.031654
L286_frame084,35.7456,0.8950,13.868584
L286_frame085,35.7948,0.8956,14.226192
L286_frame086,35.8904,0.8987,13.900429
L286_frame087,35.7514,0.8962,14.188171
L286_frame088,35.8258,0.9051,12.779373
L286_frame089,35.9381,0.9049,12.843578
L286_frame090,35.8629,0.9075,12.283085
L286_frame091,35.8322,0.9111,11.662663
L286_frame092,35.7369,0.9125,11.534271
L286_frame093,35.6636,0.9087,12.069836
L286_frame094,35.8751,0.9154,11.377674
L286_frame095,35.9941,0.9137,11.802998
L286_frame096,35.8557,0.9111,12.063061
L286_frame097,36.0058,0.9148,11.621201
L286_frame098,36.1235,0.9134,11.967583
L286_frame099,36.0281,0.9095,12.531761
L286_frame100,36.2391,0.9150,12.013226
L286_frame101,36.1977,0.9123,12.439796
L286_frame102,35.9989,0.9098,12.722622
L286_frame103,36.1740,0.9171,11.611088
L286_frame104,36.2079,0.9193,11.245792
L286_frame105,35.9784,0.9190,11.197147
L286_frame106,36.0726,0.9223,10.926926
L286_frame107,36.1057,0.9218,11.019043
L286_frame108,36.0552,0.9212,10.818531
L286_frame109,36.0741,0.9281,9.754581
L286_frame110,35.9129,0.9322,9.089310
L286_frame111,35.8992,0.9300,9.441700
L286_frame112,36.0284,0.9345,8.944984
L286_frame113,35.9390,0.9374,8.507858
L286_frame114,35.7923,0.9375,8.300694
L286_frame115,36.0228,0.9410,7.966896
L286_frame116,36.0591,0.9397,8.131275
L286_frame117,36.0940,0.9364,8.493439
L286_frame118,36.0747,0.9396,8.256203
L286_frame119,36.0852,0.9410,8.123489
L286_frame120,36.0438,0.9390,8.385468
L286_frame121,36.1247,0.9401,8.363247
L286_frame122,36.2158,0.9375,8.832874
L286_frame123,36.0656,0.9341,9.136379
L286_frame124,36.2148,0.9361,8.903805
L286_frame125,36.1223,0.9345,9.122219
L286_frame126,35.8597,0.9328,9.146988
L286_frame127,36.1782,0.9346,9.006851
L286_frame128,36.3865,0.9331,9.329380
L286_frame129,36.3683,0.9275,10.272156
L286_frame130,36.4686,0.9290,10.449913
L286_frame131,36.4626,0.9302,10.074795
L286_frame132,36.3752,0.9275,10.300976
L286_frame133,36.2942,0.9311,9.759769
L286_frame134,36.0556,0.9316,9.421505
L286_frame135,35.5577,0.9295,9.317249
L286_frame136,35.9113,0.9320,9.222290
L286_frame137,36.2572,0.9309,9.503822
L286_frame138,36.2881,0.9279,9.740261
L286_frame139,36.3452,0.9310,9.398079
L286_frame140,36.4698,0.9303,9.621689
L286_frame141,36.5850,0.9262,10.374832
L286_frame142,36.7544,0.9311,9.986988
L286_frame143,36.6888,0.9326,9.684048
L286_frame144,36.4490,0.9272,10.466377
L286_frame145,36.5713,0.9284,10.443165
L286_frame146,36.6018,0.9284,10.271717
L286_frame147,36.3003,0.9277,10.043198
L286_frame148,36.2810,0.9335,9.281975
L286_frame149,36.2865,0.9359,8.958672
L286_frame150,36.3438,0.9321,9.529827
L286_frame151,36.4297,0.9328,9.578926
L286_frame152,36.3318,0.9335,9.371338
L286_frame153,36.0912,0.9306,9.614075
L286_frame154,36.2740,0.9337,9.212811
L286_frame155,36.2315,0.9339,9.002422
L286_frame156,36.1136,0.9309,9.395222
L286_frame157,36.1706,0.9342,8.962223
L286_frame158,36.1582,0.9336,9.070690
L286_frame159,35.9925,0.9327,9.025940
L286_frame160,35.9770,0.9370,8.488529
L286_frame161,35.9887,0.9368,8.616196
L286_frame162,35.9229,0.9335,9.136002
L286_frame163,36.0157,0.9364,8.673088
L286_frame164,36.2221,0.9352,8.961761
L286_frame165,36.0433,0.9322,9.314968
L286_frame166,35.9993,0.9342,9.038509
L286_frame167,35.9492,0.9325,9.206230
L286_frame168,35.6369,0.9284,9.564472
L286_frame169,35.8145,0.9307,9.371513
L286_frame170,35.9117,0.9305,9.393459
L286_frame171,35.8309,0.9284,9.429333
L286_frame172,36.0989,0.9292,9.514580
L286_frame173,36.3712,0.9294,9.661507
L286_frame174,36.3876,0.9263,10.363758
L286_frame175,36.5301,0.9293,10.093544
L286_frame176,36.5028,0.9318,9.612316
L286_frame177,36.4018,0.9285,9.969269
L286_frame178,36.5779,0.9327,9.398247
L286_frame179,36.6328,0.9328,9.303516
L286_frame180,36.3026,0.9309,9.283192
L286_frame181,36.3807,0.9346,8.918755
L286_frame182,36.4867,0.9339,9.135998
L286_frame183,36.3799,0.9302,9.560333
L286_frame184,36.5219,0.9326,9.282925
L286_frame185,36.4927,0.9327,9.264370
L286_frame186,36.4163,0.9301,9.695015
L286_frame187,36.7543,0.9340,9.433453
L286_frame188,36.5912,0.9345,9.364136
L286_frame189,36.5033,0.9305,9.852787
L286_frame190,36.7273,0.9337,9.610794
L286_frame191,36.5696,0.9341,9.472389
L286_frame192,36.2571,0.9293,9.855553
