ImageName, PSNR, SSIM, MSE
phantomFrame000,30.3850,0.8949,10.711487
phantomFrame001,29.5516,0.9166,10.659912
phantomFrame002,29.5193,0.9144,11.698486
phantomFrame003,28.9251,0.8999,12.911194
phantomFrame004,28.2795,0.9003,14.509155
phantomFrame005,28.8740,0.8918,14.584229
phantomFrame006,28.2353,0.8654,16.982422
phantomFrame007,28.2520,0.8890,17.139587
phantomFrame008,27.8900,0.8644,17.513672
phantomFrame009,28.1264,0.8776,18.537903
phantomFrame010,27.7034,0.8560,19.076843
phantomFrame011,27.9915,0.8797,19.072449
phantomFrame012,27.6690,0.8585,20.548096
phantomFrame013,27.4565,0.8542,21.281311
phantomFrame014,27.3336,0.8530,22.320557
phantomFrame015,26.2623,0.8337,23.107788
phantomFrame016,26.6631,0.8510,23.440369
phantomFrame017,26.6512,0.8249,23.731445
phantomFrame018,26.4527,0.8223,24.948669
phantomFrame019,26.2121,0.8085,25.363159
phantomFrame020,26.3878,0.8097,27.304749
phantomFrame021,25.9764,0.8211,25.820435
phantomFrame022,25.7709,0.7760,28.213928
phantomFrame023,26.2345,0.7816,27.780457
phantomFrame024,26.0125,0.7301,30.459229
phantomFrame025,25.2498,0.7683,28.742310
phantomFrame026,24.6321,0.7855,30.103699
phantomFrame027,24.6954,0.7865,30.738525
phantomFrame028,24.3058,0.7713,32.579895
phantomFrame029,24.1419,0.7861,33.204285
phantomFrame030,23.8971,0.7441,34.277771
phantomFrame031,24.0441,0.7856,34.630920
phantomFrame032,23.8514,0.7626,35.053833
phantomFrame033,23.7936,0.7599,36.502075
phantomFrame034,23.8418,0.7863,33.833679
phantomFrame035,23.8016,0.7615,35.938110
phantomFrame036,23.6828,0.7566,36.828186
phantomFrame037,23.7254,0.7712,35.278442
phantomFrame038,23.6376,0.7670,35.927063
phantomFrame039,23.2979,0.7602,36.592102
phantomFrame040,23.5976,0.7713,37.295105
phantomFrame041,23.9502,0.7779,36.590698
phantomFrame042,24.0520,0.7668,36.271240
phantomFrame043,23.7957,0.7837,35.200073
phantomFrame044,24.2684,0.7761,37.149902
phantomFrame045,25.2594,0.7920,33.531921
phantomFrame046,24.8738,0.7652,35.034729
phantomFrame047,25.1948,0.7979,34.090698
phantomFrame048,24.9998,0.7937,33.792603
phantomFrame049,25.0199,0.7994,32.703003
phantomFrame050,24.7598,0.7828,33.899109
phantomFrame051,25.1170,0.7928,32.522095
phantomFrame052,24.8114,0.7894,31.910950
phantomFrame053,25.2799,0.7921,32.260010
phantomFrame054,25.1140,0.7943,32.407837
phantomFrame055,24.9618,0.7977,32.724060
phantomFrame056,25.0313,0.7846,32.682434
phantomFrame057,25.0435,0.7893,31.654053
phantomFrame058,25.1009,0.7810,31.872620
phantomFrame059,25.2074,0.7782,31.738953
phantomFrame060,25.1866,0.7907,32.885376
phantomFrame061,25.4710,0.7947,29.180786
phantomFrame062,24.9816,0.7790,30.908447
phantomFrame063,24.9682,0.7691,31.076355
phantomFrame064,25.4859,0.7861,31.172180
phantomFrame065,25.5424,0.7806,29.671143
phantomFrame066,25.6362,0.7623,30.199158
phantomFrame067,25.7226,0.7713,29.327820
phantomFrame068,25.3896,0.7338,30.532410
phantomFrame069,25.7692,0.7739,29.126160
phantomFrame070,25.8302,0.7896,27.770813
phantomFrame071,26.0610,0.7849,28.119019
phantomFrame072,25.7066,0.7515,29.361755
phantomFrame073,25.6145,0.7822,27.356384
phantomFrame074,26.0138,0.7633,27.349670
phantomFrame075,25.7111,0.7783,25.947205
phantomFrame076,26.2475,0.7849,25.489380
phantomFrame077,26.3876,0.7658,26.606812
phantomFrame078,26.2204,0.7713,26.582642
phantomFrame079,26.3732,0.7685,25.946899
phantomFrame080,26.1514,0.8023,23.925598
phantomFrame081,26.0346,0.7769,24.945618
phantomFrame082,26.0823,0.8029,24.004456
phantomFrame083,26.7925,0.8134,24.764282
phantomFrame084,26.9515,0.7831,24.932800
phantomFrame085,26.9823,0.8300,22.928406
phantomFrame086,26.6585,0.8125,23.151855
phantomFrame087,27.4114,0.8451,21.188171
phantomFrame088,27.1244,0.8454,20.171265
phantomFrame089,26.8012,0.8297,21.037964
phantomFrame090,27.6546,0.8567,20.322571
phantomFrame091,28.0573,0.8742,18.394348
phantomFrame092,27.8838,0.8516,18.070618
phantomFrame093,28.3224,0.8822,16.590759
phantomFrame094,27.8472,0.8871,15.748901
phantomFrame095,28.4522,0.8824,16.318848
phantomFrame096,28.6800,0.8881,14.512024
phantomFrame097,28.4102,0.8916,14.676025
phantomFrame098,28.1550,0.8924,13.616394
phantomFrame099,28.9731,0.9143,12.494934
phantomFrame100,29.5887,0.9109,12.140015
phantomFrame101,30.1052,0.9099,10.530945
phantomFrame102,30.7741,0.8499,11.065186
