ImageName, PSNR, SSIM, MSE
10_patch10_32_001,27.7142,0.5341,57.818848
10_patch10_32_002,28.2134,0.5468,52.804443
10_patch10_33_000,27.3658,0.5340,58.575195
10_patch10_33_001,27.7242,0.5434,59.128418
10_patch10_33_002,27.3147,0.5215,59.486084
10_patch10_33_003,28.2224,0.5588,52.164062
10_patch10_33_004,27.1302,0.5229,61.972656
10_patch10_33_005,28.1404,0.5773,52.028809
10_patch10_33_006,28.9174,0.6121,45.745605
10_patch10_34_000,26.1044,0.4830,64.080566
10_patch10_34_001,26.6628,0.4965,64.777832
10_patch10_34_002,27.1139,0.5271,60.634033
10_patch10_34_003,27.8527,0.5523,56.425049
10_patch10_34_004,27.7912,0.5637,56.071045
10_patch10_34_005,27.0433,0.5283,61.704102
10_patch10_34_006,27.6902,0.5536,52.926514
10_patch10_34_007,26.8389,0.4939,64.894531
10_patch10_34_008,27.6037,0.5315,52.592529
10_patch10_34_009,26.9757,0.5307,59.470947
10_patch10_34_010,27.2888,0.5244,54.833252
10_patch10_34_011,27.9195,0.5379,56.172363
10_patch10_34_012,27.1172,0.5130,57.161865
10_patch10_35_000,26.2942,0.4976,64.076172
10_patch10_35_001,27.2726,0.5505,52.410889
10_patch10_35_002,26.7256,0.4903,65.204590
10_patch10_35_003,26.8517,0.5113,62.685303
10_patch10_35_004,27.1492,0.5428,58.111084
10_patch10_35_005,26.8897,0.5635,54.578613
10_patch10_35_006,26.7134,0.5197,61.217773
10_patch10_35_007,27.4254,0.5714,52.947754
10_patch10_35_008,26.3814,0.4935,63.915771
10_patch10_35_009,27.0093,0.5244,57.902832
10_patch10_35_010,26.5308,0.4979,66.357666
10_patch10_35_011,27.1732,0.5193,56.356934
10_patch10_35_012,27.4425,0.5261,60.861816
10_patch10_35_013,27.9618,0.5432,52.530029
10_patch10_35_014,28.6183,0.5755,46.945068
10_patch10_36_000,26.3845,0.5166,61.932617
10_patch10_36_001,27.3870,0.5485,52.493164
10_patch10_36_002,26.3108,0.4842,63.866455
10_patch10_36_003,27.3269,0.5235,55.270752
10_patch10_36_004,25.9254,0.4977,63.851562
10_patch10_36_005,26.2272,0.5289,62.947754
10_patch10_36_006,27.0591,0.5525,57.552002
10_patch10_36_007,25.8484,0.5351,61.698486
10_patch10_36_008,25.7652,0.5231,62.657715
10_patch10_36_009,26.6146,0.5100,60.470215
10_patch10_36_010,26.5947,0.5539,58.434326
10_patch10_36_011,26.2399,0.5063,63.869629
10_patch10_36_012,26.9667,0.5606,54.927002
10_patch10_36_013,26.5080,0.5155,62.805176
10_patch10_36_014,27.1767,0.5749,53.943115
10_patch10_36_015,26.0845,0.5027,66.439209
10_patch10_36_016,26.9290,0.5481,55.068115
10_patch10_36_017,26.9919,0.5320,61.110596
10_patch10_36_018,27.5517,0.5542,52.077393
10_patch10_36_019,27.1205,0.5344,59.004883
10_patch10_36_020,27.6186,0.5369,53.018555
10_patch10_36_021,26.8535,0.5303,58.691895
10_patch10_36_022,27.7493,0.5552,54.368164
10_patch10_36_023,27.6335,0.5411,59.445068
10_patch10_36_024,28.2535,0.5423,53.090332
