ImageName, PSNR, SSIM, MSE
07_patch07_33_001,26.2788,0.4965,63.803467
07_patch07_33_002,25.8641,0.4434,60.340088
07_patch07_33_003,26.6673,0.4732,58.133057
07_patch07_33_004,25.8553,0.4450,63.868896
07_patch07_34_000,26.9038,0.4744,64.334717
07_patch07_34_001,26.8672,0.4821,63.334229
07_patch07_34_002,26.2108,0.4854,62.908936
07_patch07_34_003,26.0853,0.4735,66.533691
07_patch07_34_004,26.9982,0.5015,61.044434
07_patch07_34_005,25.1865,0.4503,64.669434
07_patch07_34_006,25.5094,0.4565,63.495850
07_patch07_34_007,25.9814,0.4640,61.535889
07_patch07_34_008,25.4660,0.4401,65.141602
07_patch07_34_009,27.3793,0.5208,63.329102
07_patch07_34_010,26.0909,0.4539,63.828369
07_patch07_35_000,24.8965,0.4212,72.397705
07_patch07_35_001,25.4756,0.4238,73.423584
07_patch07_35_002,26.3942,0.4636,64.912109
07_patch07_35_003,25.5990,0.4416,66.195801
07_patch07_35_004,25.9137,0.4575,64.177979
07_patch07_35_005,26.1072,0.4610,63.665771
07_patch07_35_006,25.6916,0.4451,65.541748
07_patch07_35_007,24.3051,0.4018,67.930420
07_patch07_35_008,24.6330,0.4147,69.195801
07_patch07_35_009,25.4918,0.4466,65.362061
07_patch07_35_010,25.0006,0.4253,68.971924
07_patch07_35_011,24.5970,0.3940,70.931641
07_patch07_35_012,27.0179,0.5063,65.334717
07_patch07_35_013,25.8776,0.4542,66.067871
07_patch07_36_000,26.6066,0.4757,64.106689
07_patch07_36_001,25.8737,0.4433,65.528809
07_patch07_36_002,26.1021,0.4749,65.476074
07_patch07_36_003,24.8163,0.4554,75.325439
07_patch07_36_004,26.4365,0.4679,63.466309
07_patch07_36_005,24.9457,0.4313,72.212158
07_patch07_36_006,25.8601,0.4536,68.681641
07_patch07_36_007,27.4979,0.5275,59.813477
07_patch07_36_008,25.2056,0.4307,71.307861
07_patch07_36_009,27.5255,0.5162,59.206543
07_patch07_36_010,25.8055,0.4432,65.190674
07_patch07_36_011,25.9375,0.4435,66.329834
07_patch07_36_012,25.4771,0.4452,68.047607
07_patch07_36_013,25.1889,0.4496,67.687012
07_patch07_36_014,24.5425,0.4256,72.472656
07_patch07_36_015,24.3201,0.4073,71.911377
07_patch07_36_016,26.4478,0.4625,64.769531
07_patch07_36_017,25.2259,0.4321,66.519043
07_patch07_36_018,25.4975,0.4528,65.870117
07_patch07_36_019,26.0148,0.4682,62.030273
