Epoch	TrainLoss	ValidLoss	PSNR	PSNR_std	SSIM	SSIM_std	NRMSE	NRMSE_std
83	0.17584326	0.10210377	33.540	1.774	0.950	0.018	0.021	0.004
84	0.17594519	0.10236498	33.519	1.822	0.950	0.018	0.022	0.005
85	0.17598113	0.10206642	33.572	1.768	0.950	0.018	0.021	0.004
86	0.17581154	0.10350960	33.402	1.967	0.949	0.019	0.022	0.005
87	0.17589695	0.10264446	33.583	1.773	0.950	0.018	0.021	0.004
88	0.17599380	0.10233110	33.497	1.846	0.950	0.018	0.022	0.005
89	0.17589139	0.10218762	33.610	1.800	0.951	0.018	0.021	0.004
90	0.17603084	0.10198056	33.490	1.920	0.950	0.019	0.022	0.005
91	0.17584494	0.10295973	33.482	1.856	0.950	0.018	0.022	0.005
92	0.17577146	0.10284231	33.542	1.770	0.950	0.018	0.021	0.004
93	0.17584258	0.10322905	33.426	1.951	0.950	0.019	0.022	0.005
94	0.17571474	0.10292503	33.487	1.778	0.950	0.018	0.022	0.004
95	0.17587423	0.10246047	33.502	1.842	0.950	0.018	0.022	0.005
96	0.17586794	0.10283295	33.465	1.860	0.950	0.018	0.022	0.005
97	0.17575767	0.10293928	33.452	1.880	0.950	0.018	0.022	0.005
98	0.17584483	0.10246036	33.495	1.814	0.950	0.018	0.022	0.005
99	0.17589929	0.10243862	33.528	1.821	0.950	0.018	0.022	0.005
100	0.17583975	0.10315187	33.501	1.855	0.950	0.018	0.022	0.005
101	0.17573859	0.10206766	33.515	1.886	0.950	0.019	0.022	0.005
102	0.17588310	0.10331562	33.461	1.820	0.950	0.018	0.022	0.005
103	0.17577146	0.10213349	33.535	1.823	0.950	0.018	0.022	0.005
104	0.17580344	0.10203158	33.565	1.854	0.950	0.018	0.021	0.005
105	0.17582661	0.10291177	33.480	1.832	0.950	0.018	0.022	0.005
106	0.17579141	0.10260752	33.499	1.885	0.950	0.018	0.022	0.005
107	0.17567095	0.10284899	33.528	1.845	0.950	0.018	0.022	0.005
108	0.17581550	0.10304634	33.517	1.871	0.950	0.018	0.022	0.005
109	0.17571753	0.10249874	33.471	1.850	0.950	0.018	0.022	0.005
110	0.17567876	0.10266157	33.438	1.897	0.949	0.018	0.022	0.005
111	0.17571548	0.10293882	33.496	1.940	0.950	0.019	0.022	0.005
112	0.17571990	0.10326258	33.459	1.895	0.950	0.019	0.022	0.005
113	0.17567772	0.10314788	33.480	1.903	0.950	0.018	0.022	0.005
114	0.17573954	0.10309840	33.446	1.948	0.950	0.019	0.022	0.005
115	0.17567704	0.10249423	33.538	1.845	0.950	0.018	0.022	0.005
116	0.17584831	0.10256055	33.488	1.925	0.950	0.019	0.022	0.005
117	0.17568240	0.10276767	33.479	1.863	0.950	0.018	0.022	0.005
118	0.17581571	0.10289846	33.456	1.914	0.950	0.018	0.022	0.005
119	0.17565827	0.10284032	33.493	1.861	0.950	0.018	0.022	0.005
120	0.17578786	0.10250346	33.494	1.854	0.950	0.018	0.022	0.005
121	0.17590162	0.10265970	33.545	1.832	0.950	0.018	0.022	0.005
122	0.17568648	0.10310821	33.471	1.943	0.950	0.019	0.022	0.005
123	0.17574021	0.10274833	33.476	1.819	0.950	0.018	0.022	0.005
124	0.17575520	0.10353589	33.434	1.894	0.950	0.018	0.022	0.005
125	0.17556955	0.10323878	33.482	1.967	0.950	0.019	0.022	0.006
126	0.17575326	0.10306255	33.422	1.960	0.950	0.019	0.022	0.005
127	0.17565814	0.10276306	33.479	1.877	0.950	0.018	0.022	0.005
128	0.17570228	0.10268693	33.469	1.867	0.950	0.018	0.022	0.005
129	0.17573237	0.10330935	33.440	1.935	0.950	0.019	0.022	0.005
130	0.17564067	0.10271011	33.466	1.885	0.950	0.018	0.022	0.005
131	0.17570522	0.10291141	33.437	1.942	0.950	0.019	0.022	0.005
132	0.17585798	0.10388389	33.344	2.066	0.949	0.019	0.022	0.006
133	0.17561507	0.10266489	33.475	1.875	0.950	0.018	0.022	0.005
