Scan,Image_name, PSNR, SSIM, MSE
0,phantom,29.2963,0.4000,34.931885
0,phantom,29.1503,0.4103,35.202271
0,phantom,28.8075,0.4126,35.915283
0,phantom,28.5124,0.3901,38.853577
0,phantom,28.2898,0.3950,42.498840
0,phantom,28.1253,0.4124,39.532532
0,phantom,28.0290,0.4163,41.558228
0,phantom,27.8810,0.4089,41.342712
0,phantom,27.5032,0.4013,42.109558
0,phantom,27.4160,0.4136,45.546753
0,phantom,27.1707,0.4189,45.428772
0,phantom,26.9920,0.4257,44.417969
0,phantom,26.9057,0.4245,44.950134
0,phantom,26.7209,0.4086,49.698364
0,phantom,26.5977,0.4161,46.317749
0,phantom,26.6409,0.4224,45.956970
0,phantom,26.1220,0.4106,52.656250
0,phantom,26.1951,0.4128,52.395752
0,phantom,26.1912,0.4290,51.908508
0,phantom,26.0650,0.4414,51.298645
0,phantom,25.8921,0.4258,50.023987
0,phantom,25.5435,0.4206,55.580994
0,phantom,25.5980,0.4223,54.162354
0,phantom,25.6108,0.4239,54.477844
0,phantom,25.3528,0.4174,55.365784
0,phantom,25.4119,0.4473,51.988037
0,phantom,25.2370,0.4484,54.829834
0,phantom,24.8823,0.4390,57.511353
0,phantom,24.8497,0.4511,54.010986
0,phantom,24.7080,0.4643,55.927063
0,phantom,24.7247,0.4476,58.364502
0,phantom,24.6572,0.4560,58.247925
0,phantom,24.6875,0.4611,58.826233
0,phantom,24.4617,0.4516,59.025146
0,phantom,24.3203,0.4556,60.572021
0,phantom,24.4619,0.4654,59.391846
0,phantom,24.0761,0.4504,61.295105
0,phantom,24.2081,0.4542,62.259338
0,phantom,24.3377,0.4490,60.175293
0,phantom,24.4270,0.4591,57.189087
0,phantom,24.3647,0.4518,60.785461
0,phantom,24.1984,0.4575,58.639648
0,phantom,24.0545,0.4374,61.139526
0,phantom,24.3988,0.4588,59.157593
0,phantom,24.2729,0.4501,61.916565
0,phantom,24.5243,0.4586,59.775024
0,phantom,24.4803,0.4434,60.783997
0,phantom,24.7243,0.4538,60.637695
0,phantom,24.4905,0.4340,63.409302
0,phantom,24.4414,0.4287,61.225952
0,phantom,24.4798,0.4274,61.338379
0,phantom,24.6175,0.4272,59.732910
0,phantom,24.4422,0.4202,62.822083
0,phantom,24.6258,0.4295,61.221558
0,phantom,24.6470,0.4303,62.555298
0,phantom,24.4305,0.4256,60.517639
0,phantom,24.7342,0.4279,60.542542
0,phantom,24.6349,0.4277,60.756531
0,phantom,24.6003,0.4226,61.385315
0,phantom,24.5760,0.4265,60.384827
0,phantom,24.6784,0.4248,60.387268
0,phantom,24.6197,0.4126,59.662170
0,phantom,24.5199,0.4191,60.148010
0,phantom,24.4547,0.4001,62.369385
0,phantom,24.5658,0.4110,58.545349
0,phantom,24.8556,0.4182,61.080078
0,phantom,24.8387,0.4201,58.877930
0,phantom,25.0415,0.4105,60.594788
0,phantom,25.0672,0.4086,57.798096
0,phantom,25.0199,0.4151,60.687866
0,phantom,24.8695,0.4011,59.978333
0,phantom,24.9459,0.3987,58.704407
0,phantom,25.0343,0.3922,58.429993
0,phantom,25.2181,0.3986,58.307068
0,phantom,25.0450,0.3914,58.068909
0,phantom,25.1289,0.3966,55.725342
0,phantom,25.1710,0.4024,58.625183
0,phantom,25.3382,0.4101,56.552124
0,phantom,25.4659,0.4000,53.368042
0,phantom,25.4438,0.4025,54.837708
0,phantom,25.6738,0.4170,52.105469
0,phantom,25.3996,0.3964,57.550537
0,phantom,25.5922,0.3936,50.884766
0,phantom,25.6225,0.4002,53.888489
0,phantom,25.6852,0.3925,55.208008
0,phantom,26.1756,0.3971,51.377075
0,phantom,26.0986,0.3913,53.120972
0,phantom,26.6405,0.4150,50.518250
0,phantom,26.5146,0.4028,46.239258
0,phantom,26.6024,0.3974,47.663574
0,phantom,26.7054,0.4060,46.253601
0,phantom,26.8298,0.4114,47.630493
0,phantom,27.1006,0.3970,44.756104
0,phantom,26.9635,0.3993,45.914856
0,phantom,27.3905,0.4119,43.210876
0,phantom,27.5038,0.4029,43.484131
0,phantom,27.6779,0.4027,41.445251
0,phantom,27.5780,0.3985,42.027588
0,phantom,27.9593,0.4176,40.778076
0,phantom,28.1889,0.4042,39.827454
0,phantom,28.3856,0.3926,37.738831
0,phantom,28.5318,0.4033,38.680542
