Epoch	TrainLoss	ValidLoss	PSNR	PSNR_std	SSIM	SSIM_std	NRMSE	NRMSE_std
1	0.72159211	0.94924140	27.280	1.358	0.835	0.022	0.044	0.007
2	0.72004786	0.96222450	27.356	1.376	0.837	0.022	0.043	0.007
3	0.71986679	0.94116996	27.356	1.380	0.836	0.023	0.043	0.007
4	0.71983419	0.95722091	27.418	1.370	0.839	0.023	0.043	0.007
5	0.71968012	0.96346916	27.437	1.358	0.840	0.023	0.043	0.007
6	0.71967085	0.97460645	27.437	1.352	0.840	0.023	0.043	0.007
7	0.71961127	0.95928791	27.397	1.369	0.839	0.024	0.043	0.007
8	0.71954166	0.96855300	27.422	1.351	0.839	0.024	0.043	0.007
9	0.71953439	0.95111739	27.459	1.353	0.841	0.023	0.043	0.007
10	0.71940080	0.95074027	27.438	1.376	0.840	0.024	0.043	0.007
11	0.71935107	0.96053024	27.407	1.375	0.839	0.024	0.043	0.007
12	0.71943620	0.96467707	27.396	1.374	0.839	0.023	0.043	0.007
13	0.71939259	0.94556090	27.471	1.359	0.841	0.023	0.043	0.007
14	0.71924296	0.97418790	27.436	1.379	0.841	0.023	0.043	0.007
15	0.71931451	0.96025883	27.416	1.366	0.840	0.024	0.043	0.007
16	0.71922170	0.96779084	27.467	1.385	0.841	0.024	0.043	0.007
17	0.71933413	0.96004550	27.439	1.368	0.840	0.023	0.043	0.007
18	0.71925188	0.96651557	27.438	1.377	0.840	0.024	0.043	0.007
19	0.71938216	0.96233271	27.489	1.377	0.842	0.023	0.043	0.007
20	0.71923448	0.95173564	27.469	1.374	0.841	0.023	0.043	0.007
21	0.71913223	0.94852756	27.455	1.361	0.841	0.024	0.043	0.007
22	0.71927638	0.94886880	27.457	1.382	0.841	0.023	0.043	0.007
23	0.71920055	0.96614781	27.462	1.392	0.841	0.023	0.043	0.007
24	0.71914648	0.96239957	27.481	1.372	0.842	0.023	0.043	0.007
25	0.71921954	0.95626617	27.455	1.375	0.841	0.024	0.043	0.007
26	0.71914171	0.95852973	27.464	1.394	0.841	0.023	0.043	0.007
27	0.71915396	0.96045797	27.495	1.383	0.842	0.023	0.043	0.007
28	0.71918366	0.95562323	27.488	1.375	0.842	0.023	0.043	0.007
29	0.71910381	0.96824976	27.492	1.380	0.842	0.023	0.043	0.007
30	0.71904966	0.96124840	27.501	1.382	0.842	0.023	0.043	0.007
31	0.71914646	0.96056429	27.468	1.374	0.841	0.023	0.043	0.007
32	0.71917588	0.96433526	27.473	1.376	0.842	0.023	0.043	0.007
33	0.71914844	0.96132155	27.475	1.362	0.842	0.023	0.043	0.007
34	0.71921077	0.96979870	27.460	1.372	0.841	0.024	0.043	0.007
35	0.71913985	0.96093823	27.475	1.386	0.842	0.024	0.043	0.007
36	0.71910799	0.96862026	27.491	1.393	0.842	0.023	0.043	0.007
37	0.71903475	0.95227455	27.494	1.394	0.842	0.023	0.043	0.007
38	0.71900617	0.96101875	27.475	1.382	0.842	0.024	0.043	0.007
39	0.71907454	0.95902312	27.486	1.390	0.842	0.023	0.043	0.007
40	0.71901224	0.96116255	27.480	1.391	0.842	0.023	0.043	0.007
41	0.71895045	0.95758633	27.487	1.392	0.842	0.023	0.043	0.007
42	0.71897609	0.96001678	27.491	1.385	0.842	0.023	0.043	0.007
43	0.71892848	0.96246922	27.480	1.395	0.842	0.023	0.043	0.007
44	0.71914128	0.95757931	27.470	1.389	0.841	0.023	0.043	0.007
45	0.71896623	0.96143969	27.475	1.390	0.842	0.023	0.043	0.007
46	0.71905776	0.96238751	27.490	1.396	0.842	0.024	0.043	0.007
47	0.71899774	0.96524642	27.491	1.384	0.842	0.023	0.043	0.007
48	0.71894561	0.95643026	27.485	1.391	0.842	0.024	0.043	0.007
49	0.71906156	0.96290514	27.508	1.389	0.843	0.023	0.043	0.007
50	0.71893589	0.95945545	27.467	1.394	0.841	0.024	0.043	0.007
51	0.71901833	0.95452452	27.446	1.390	0.841	0.024	0.043	0.007
52	0.71885444	0.94917906	27.476	1.404	0.842	0.023	0.043	0.007
53	0.71891833	0.96044323	27.479	1.383	0.842	0.023	0.043	0.007
54	0.71892301	0.96250391	27.485	1.397	0.842	0.023	0.043	0.007
55	0.71887395	0.95731469	27.483	1.400	0.842	0.023	0.043	0.007
56	0.71892260	0.96550493	27.491	1.390	0.842	0.023	0.043	0.007
57	0.71901921	0.95692070	27.477	1.386	0.842	0.023	0.043	0.007
58	0.71895749	0.96099781	27.470	1.396	0.841	0.024	0.043	0.007
59	0.71896138	0.95521521	27.461	1.395	0.841	0.024	0.043	0.007
60	0.71880911	0.96036557	27.479	1.390	0.841	0.023	0.043	0.007
61	0.71886591	0.96226625	27.479	1.397	0.842	0.024	0.043	0.007
62	0.71886010	0.95653792	27.473	1.391	0.841	0.024	0.043	0.007
63	0.71876130	0.96055054	27.468	1.396	0.842	0.024	0.043	0.007
64	0.71874078	0.96390777	27.469	1.391	0.842	0.023	0.043	0.007
65	0.71889708	0.95437165	27.458	1.403	0.841	0.023	0.043	0.007
66	0.71892660	0.96426531	27.455	1.405	0.841	0.023	0.043	0.007
67	0.71870587	0.96281275	27.450	1.405	0.841	0.024	0.043	0.007
68	0.71897035	0.96858662	27.456	1.411	0.841	0.024	0.043	0.007
69	0.71886523	0.95950155	27.474	1.393	0.842	0.023	0.043	0.007
70	0.71876099	0.96910774	27.446	1.394	0.841	0.024	0.043	0.007
71	0.71871009	0.96463628	27.458	1.399	0.841	0.024	0.043	0.007
72	0.71871492	0.95992314	27.467	1.400	0.842	0.024	0.043	0.007
73	0.71885454	0.95578696	27.439	1.400	0.841	0.023	0.043	0.007
74	0.71881906	0.96382643	27.477	1.398	0.842	0.023	0.043	0.007
75	0.71881105	0.95547349	27.457	1.394	0.841	0.023	0.043	0.007
76	0.71873430	0.95888400	27.461	1.401	0.841	0.024	0.043	0.007
77	0.71864045	0.95860410	27.452	1.401	0.841	0.024	0.043	0.007
78	0.71865500	0.95693791	27.447	1.397	0.841	0.024	0.043	0.007
79	0.71873714	0.96031805	27.446	1.396	0.841	0.024	0.043	0.007
80	0.71885964	0.95932687	27.456	1.387	0.841	0.024	0.043	0.007
81	0.71874711	0.95614090	27.455	1.400	0.841	0.024	0.043	0.007
82	0.71884340	0.96343029	27.455	1.401	0.841	0.023	0.043	0.007
83	0.71878395	0.95408454	27.444	1.409	0.841	0.024	0.043	0.007
84	0.71863867	0.96158658	27.446	1.405	0.841	0.024	0.043	0.007
85	0.71871948	0.95824144	27.470	1.391	0.841	0.023	0.043	0.007
86	0.71872223	0.95757233	27.445	1.406	0.841	0.024	0.043	0.007
87	0.71877515	0.96065676	27.459	1.397	0.841	0.023	0.043	0.007
88	0.71874445	0.96310614	27.447	1.407	0.841	0.024	0.043	0.007
89	0.71865909	0.95972772	27.437	1.403	0.841	0.024	0.043	0.007
90	0.71862289	0.96081768	27.449	1.410	0.841	0.024	0.043	0.007
91	0.71861307	0.96279093	27.448	1.407	0.841	0.024	0.043	0.007
92	0.71881327	0.96187856	27.444	1.411	0.841	0.024	0.043	0.007
93	0.71876668	0.96022446	27.443	1.398	0.841	0.023	0.043	0.007
94	0.71881969	0.96101841	27.437	1.407	0.841	0.024	0.043	0.007
95	0.71874836	0.95830847	27.439	1.407	0.841	0.024	0.043	0.007
96	0.71874008	0.95863092	27.440	1.399	0.840	0.023	0.043	0.007
97	0.71866166	0.96171229	27.445	1.401	0.841	0.024	0.043	0.007
98	0.71871853	0.96120634	27.437	1.410	0.841	0.024	0.043	0.007
99	0.71868047	0.96083761	27.435	1.408	0.840	0.024	0.043	0.007
100	0.71857135	0.96227759	27.444	1.402	0.841	0.023	0.043	0.007
101	0.71868436	0.96014993	27.446	1.399	0.841	0.024	0.043	0.007
102	0.71860241	0.95591907	27.431	1.411	0.841	0.023	0.043	0.007
103	0.71866817	0.95786421	27.435	1.403	0.841	0.024	0.043	0.007
104	0.71873513	0.96154698	27.438	1.410	0.841	0.024	0.043	0.007
105	0.71865743	0.96179181	27.449	1.405	0.841	0.024	0.043	0.007
106	0.71855626	0.96268965	27.426	1.397	0.840	0.024	0.043	0.007
107	0.71873649	0.96270341	27.436	1.404	0.840	0.024	0.043	0.007
108	0.71871903	0.96029841	27.431	1.402	0.840	0.024	0.043	0.007
109	0.71860685	0.95977502	27.443	1.402	0.841	0.024	0.043	0.007
110	0.71873541	0.95833404	27.430	1.408	0.840	0.024	0.043	0.007
111	0.71867228	0.96078577	27.443	1.405	0.841	0.024	0.043	0.007
112	0.71866225	0.95816826	27.439	1.401	0.841	0.024	0.043	0.007
113	0.71863905	0.96251466	27.433	1.414	0.841	0.024	0.043	0.007
114	0.71865220	0.95953975	27.429	1.408	0.840	0.023	0.043	0.007
115	0.71861342	0.95828000	27.428	1.414	0.840	0.024	0.043	0.007
116	0.71871809	0.96089182	27.428	1.406	0.840	0.024	0.043	0.007
117	0.71858080	0.96178493	27.426	1.409	0.840	0.024	0.043	0.007
118	0.71872866	0.96120183	27.432	1.404	0.840	0.024	0.043	0.007
119	0.71869960	0.96131382	27.438	1.410	0.841	0.024	0.043	0.007
120	0.71877518	0.95852024	27.438	1.405	0.841	0.024	0.043	0.007
121	0.71859523	0.95865035	27.435	1.409	0.841	0.024	0.043	0.007
122	0.71854352	0.96253606	27.420	1.412	0.840	0.024	0.043	0.007
123	0.71875820	0.96161060	27.427	1.406	0.840	0.024	0.043	0.007
124	0.71872182	0.96062744	27.426	1.408	0.840	0.024	0.043	0.007
125	0.71861870	0.96415371	27.425	1.412	0.840	0.024	0.043	0.007
