ImageName, PSNR, SSIM, MSE
L192_frame147,36.7147,0.9083,10.790798
L192_frame148,36.8589,0.9091,10.775753
L192_frame149,36.8749,0.9067,11.322021
L192_frame150,36.6795,0.9023,11.884872
L192_frame151,36.8644,0.9054,11.331844
L192_frame152,36.8950,0.9071,11.082741
L192_frame153,36.7405,0.9030,11.641212
L192_frame154,36.8109,0.9042,11.443233
L192_frame155,36.7465,0.9023,11.804802
L192_frame156,36.6175,0.8982,12.457840
L192_frame157,36.7356,0.9018,11.893238
L192_frame158,36.7333,0.9021,11.839962
L192_frame159,36.5668,0.8991,12.419067
L192_frame160,36.8729,0.9054,11.645519
L192_frame161,36.8726,0.9053,11.627110
L192_frame162,36.7687,0.9038,11.851936
L192_frame163,37.0231,0.9093,11.112400
L192_frame164,37.0360,0.9107,10.978561
L192_frame165,36.8782,0.9066,11.609703
L192_frame166,37.0328,0.9118,10.846375
L192_frame167,36.9873,0.9113,10.921486
L192_frame168,36.8122,0.9070,11.500568
L192_frame169,36.9745,0.9094,11.224373
L192_frame170,37.0382,0.9120,10.840038
L192_frame171,36.8257,0.9076,11.524067
L192_frame172,37.0539,0.9118,10.874641
L192_frame173,36.9573,0.9108,11.060493
L192_frame174,36.7144,0.9066,11.564922
L192_frame175,36.7609,0.9078,11.371490
L192_frame176,36.8250,0.9100,11.013519
L192_frame177,36.5341,0.9039,11.830235
L192_frame178,36.5452,0.9044,11.807774
L192_frame179,36.5631,0.9027,12.217388
L192_frame180,36.4700,0.8992,12.530258
L192_frame181,36.7215,0.9065,11.364628
L192_frame182,36.7506,0.9102,10.817085
L192_frame183,36.6475,0.9083,10.816311
L192_frame184,36.8586,0.9150,9.791176
L192_frame185,36.8494,0.9170,9.517948
L192_frame186,36.7449,0.9150,9.770702
L192_frame187,36.9724,0.9178,9.416218
L192_frame188,36.9537,0.9174,9.447140
L192_frame189,36.7853,0.9114,10.234291
L192_frame190,37.1762,0.9166,9.806900
L192_frame191,37.5078,0.9184,9.724255
L192_frame192,37.2210,0.9133,10.138184
L192_frame193,37.1677,0.9172,9.676224
L192_frame194,36.7707,0.9164,9.712883
L192_frame195,36.6598,0.9116,10.370346
L192_frame196,36.8984,0.9189,9.519661
L192_frame197,36.7994,0.9208,9.362900
L192_frame198,36.6834,0.9144,10.181816
L192_frame199,37.0912,0.9172,9.988720
L192_frame200,37.0527,0.9167,10.007114
L192_frame201,36.7537,0.9130,10.480324
L192_frame202,37.2958,0.9189,9.900276
L192_frame203,37.7012,0.9223,9.435352
L192_frame204,37.5017,0.9192,9.775501
L192_frame205,37.6816,0.9229,9.463837
L192_frame206,37.7370,0.9225,9.481483
L192_frame207,37.6241,0.9203,9.647675
L192_frame208,37.7340,0.9232,9.387272
L192_frame209,37.5614,0.9241,9.289650
L192_frame210,37.3532,0.9205,9.783161
L192_frame211,37.5133,0.9237,9.403847
L192_frame212,37.4247,0.9222,9.594715
L192_frame213,37.1564,0.9187,10.048527
L192_frame214,37.1661,0.9214,9.621197
L192_frame215,37.1870,0.9208,9.746784
L192_frame216,36.9407,0.9157,10.332321
L192_frame217,37.0303,0.9200,9.637749
L192_frame218,37.1186,0.9241,9.031830
L192_frame219,36.9455,0.9245,9.012936
L192_frame220,37.2194,0.9282,8.463799
L192_frame221,37.3188,0.9279,8.351864
L192_frame222,37.2795,0.9258,8.576725
L192_frame223,37.4215,0.9318,7.790863
L192_frame224,37.6618,0.9337,7.542759
L192_frame225,37.6758,0.9310,7.911186
L192_frame226,37.8583,0.9348,7.454315
L192_frame227,37.9010,0.9350,7.490658
L192_frame228,37.8291,0.9307,7.925541
L192_frame229,37.7867,0.9348,7.311951
L192_frame230,37.8628,0.9351,7.240105
L192_frame231,37.9293,0.9318,7.803909
L192_frame232,38.1342,0.9342,7.611382
L192_frame233,38.2380,0.9363,7.407581
L192_frame234,38.0933,0.9336,7.681419
L192_frame235,38.5479,0.9379,7.163464
L192_frame236,38.8982,0.9389,7.175259
L192_frame237,38.5171,0.9355,7.657784
L192_frame238,38.2878,0.9373,7.563919
L192_frame239,38.4675,0.9374,7.507870
L192_frame240,37.9173,0.9344,7.818363
L192_frame241,37.6489,0.9385,7.210762
L192_frame242,37.6937,0.9396,7.056049
L192_frame243,37.6281,0.9371,7.337456
L192_frame244,38.0048,0.9397,7.140182
L192_frame245,38.0252,0.9397,7.202229
L192_frame246,38.0614,0.9353,7.772362
L192_frame247,38.4107,0.9373,7.665859
L192_frame248,38.4352,0.9372,7.709713
L192_frame249,38.3512,0.9358,7.968124
L192_frame250,38.7802,0.9407,7.411026
L192_frame251,39.0434,0.9432,7.019859
L192_frame252,39.0978,0.9426,6.922852
L192_frame253,39.0826,0.9464,6.431274
L192_frame254,38.8490,0.9474,6.208279
L192_frame255,38.7202,0.9443,6.480988
L192_frame256,39.0668,0.9466,6.268185
L192_frame257,38.9738,0.9477,6.085331
L192_frame258,38.4711,0.9447,6.312752
L192_frame259,38.2562,0.9474,5.963543
L192_frame260,38.3472,0.9463,6.029533
L192_frame261,38.3073,0.9430,6.412292
L192_frame262,38.4490,0.9439,6.409725
L192_frame263,38.4083,0.9417,6.670979
L192_frame264,38.3661,0.9390,6.997002
L192_frame265,38.6734,0.9425,6.640999
L192_frame266,38.8681,0.9441,6.352600
L192_frame267,38.6520,0.9425,6.425659
L192_frame268,38.5859,0.9459,6.048073
L192_frame269,38.3567,0.9456,5.925781
L192_frame270,38.0971,0.9421,6.318222
L192_frame271,38.0440,0.9442,6.079704
L192_frame272,37.9954,0.9439,6.132050
L192_frame273,37.6560,0.9396,6.558498
L192_frame274,37.6265,0.9424,6.147289
L192_frame275,37.7381,0.9418,6.309719
L192_frame276,37.8474,0.9373,6.924286
L192_frame277,38.2293,0.9385,6.876331
L192_frame278,38.2585,0.9375,7.048080
L192_frame279,38.2033,0.9349,7.417503
L192_frame280,38.4932,0.9374,7.254200
L192_frame281,38.6087,0.9363,7.509846
L192_frame282,38.4002,0.9337,7.785275
L192_frame283,38.5490,0.9359,7.492077
L192_frame284,38.5946,0.9353,7.469555
L192_frame285,38.5899,0.9310,7.949886
L192_frame286,38.6084,0.9308,8.048450
L192_frame287,38.1661,0.9284,8.251087
L192_frame288,37.8990,0.9243,8.755199
L192_frame289,38.1703,0.9288,8.286396
L192_frame290,38.2060,0.9293,8.166225
L192_frame291,38.1418,0.9293,8.097858
L192_frame292,38.3187,0.9355,7.426083
L192_frame293,38.4034,0.9354,7.387634
L192_frame294,38.1019,0.9321,7.753246
L192_frame295,38.3260,0.9347,7.390533
L192_frame296,38.3225,0.9348,7.382751
L192_frame297,38.1009,0.9323,7.669724
L192_frame298,38.0190,0.9342,7.521534
L192_frame299,38.2151,0.9335,7.713112
L192_frame300,38.0571,0.9314,7.988476
L192_frame301,38.4000,0.9349,7.528858
L192_frame302,38.3844,0.9346,7.597889
L192_frame303,38.3624,0.9320,8.014786
L192_frame304,38.5914,0.9358,7.612938
L192_frame305,38.5121,0.9368,7.424015
L192_frame306,38.4444,0.9345,7.582623
L192_frame307,38.6313,0.9367,7.300076
L192_frame308,38.6923,0.9358,7.496109
L192_frame309,38.3490,0.9322,7.845833
L192_frame310,38.4370,0.9352,7.533981
L192_frame311,38.4189,0.9327,7.879654
L192_frame312,38.0024,0.9269,8.576359
L192_frame313,38.1852,0.9317,8.059143
L192_frame314,38.0455,0.9304,8.340946
L192_frame315,37.7328,0.9245,9.158978
L192_frame316,37.7912,0.9252,9.304623
L192_frame317,37.6704,0.9228,9.746353
L192_frame318,37.4944,0.9200,10.212872
L192_frame319,37.6460,0.9237,9.976967
L192_frame320,37.4950,0.9218,10.296345
L192_frame321,37.2178,0.9160,11.007641
L192_frame322,37.3417,0.9186,10.763004
L192_frame323,37.2867,0.9183,10.896351
L192_frame324,37.0843,0.9156,11.254971
L192_frame325,37.3231,0.9200,10.541927
L192_frame326,37.3402,0.9216,10.234962
L192_frame327,37.1366,0.9188,10.594040
L192_frame328,37.3668,0.9222,10.057091
L192_frame329,37.3954,0.9221,10.062782
L192_frame330,37.1883,0.9181,10.592537
L192_frame331,37.2690,0.9192,10.423615
L192_frame332,37.2036,0.9173,10.788181
L192_frame333,37.0494,0.9126,11.487461
L192_frame334,37.2409,0.9177,10.801601
L192_frame335,37.2420,0.9165,11.003548
