Epoch	TrainLoss	ValidLoss	PSNR	PSNR_std	SSIM	SSIM_std	NRMSE	NRMSE_std
1	0.19256662	0.18882359	30.125	4.552	0.895	0.071	0.036	0.018
2	0.18533248	0.18795069	30.263	4.645	0.896	0.071	0.035	0.019
3	0.18478746	0.18906892	30.309	4.696	0.896	0.071	0.035	0.018
4	0.18448209	0.18877493	30.166	4.676	0.894	0.073	0.036	0.019
5	0.18410908	0.19003209	30.197	4.812	0.895	0.073	0.036	0.019
6	0.18400290	0.18835198	30.344	4.742	0.898	0.070	0.035	0.019
7	0.18389293	0.18971006	30.186	4.721	0.895	0.072	0.036	0.019
8	0.18356688	0.18694071	30.378	4.711	0.899	0.069	0.035	0.018
9	0.18329783	0.18914882	30.200	4.743	0.895	0.071	0.036	0.019
10	0.18355216	0.18895948	30.199	4.806	0.895	0.072	0.036	0.019
11	0.18328650	0.18843526	30.254	4.770	0.897	0.071	0.035	0.019
12	0.18340830	0.18928889	30.202	4.706	0.896	0.071	0.036	0.019
13	0.18335459	0.18994247	30.093	4.693	0.896	0.072	0.036	0.019
14	0.18297495	0.18865475	30.247	4.715	0.897	0.072	0.035	0.019
15	0.18309934	0.18810104	30.290	4.826	0.897	0.072	0.035	0.019
16	0.18293304	0.18976379	30.238	4.887	0.895	0.074	0.036	0.019
17	0.18278384	0.18923536	30.191	4.713	0.898	0.070	0.036	0.019
18	0.18290494	0.18879726	30.248	4.785	0.898	0.071	0.036	0.019
19	0.18274473	0.18887925	30.178	4.780	0.898	0.071	0.036	0.019
20	0.18280660	0.19049584	30.127	4.795	0.897	0.072	0.036	0.019
21	0.18273624	0.19042436	30.079	4.766	0.896	0.071	0.036	0.019
22	0.18274201	0.19045400	30.129	4.672	0.897	0.071	0.036	0.019
23	0.18274370	0.19018781	30.135	4.847	0.896	0.072	0.036	0.019
24	0.18270167	0.18923561	30.131	4.701	0.897	0.071	0.036	0.019
25	0.18267845	0.18940526	30.110	4.765	0.897	0.071	0.036	0.019
26	0.18262890	0.18863319	30.259	4.759	0.899	0.070	0.035	0.019
27	0.18263890	0.18990480	30.216	4.839	0.898	0.071	0.036	0.019
28	0.18253127	0.18922344	30.261	4.826	0.898	0.071	0.036	0.019
29	0.18265616	0.18796693	30.309	4.789	0.899	0.070	0.035	0.019
30	0.18248195	0.18926122	30.295	4.826	0.898	0.070	0.035	0.019
31	0.18234331	0.19038190	30.116	4.857	0.897	0.071	0.036	0.019
32	0.18235422	0.18929172	30.206	4.803	0.897	0.071	0.036	0.019
33	0.18241442	0.18978469	30.156	4.789	0.898	0.070	0.036	0.019
34	0.18246364	0.18913036	30.246	4.806	0.899	0.070	0.036	0.019
35	0.18244287	0.18928541	30.172	4.768	0.897	0.071	0.036	0.019
36	0.18237010	0.18916973	30.213	4.832	0.897	0.071	0.036	0.019
37	0.18225429	0.19005755	30.172	4.817	0.897	0.071	0.036	0.019
38	0.18226302	0.18980225	30.189	4.791	0.898	0.070	0.036	0.019
39	0.18217286	0.18897109	30.317	4.829	0.899	0.069	0.035	0.019
40	0.18228183	0.18831670	30.246	4.768	0.898	0.070	0.036	0.019
41	0.18214327	0.18977424	30.181	4.800	0.898	0.071	0.036	0.019
42	0.18221963	0.18982100	30.106	4.733	0.897	0.070	0.036	0.019
43	0.18211172	0.18968531	30.151	4.845	0.897	0.071	0.036	0.019
44	0.18201034	0.18948191	30.178	4.827	0.897	0.071	0.036	0.019
45	0.18210339	0.18862615	30.263	4.826	0.899	0.070	0.036	0.019
46	0.18208596	0.18791895	30.299	4.777	0.899	0.070	0.035	0.019
47	0.18203719	0.18921374	30.245	4.838	0.898	0.071	0.036	0.019
48	0.18212615	0.19049895	30.097	4.831	0.896	0.072	0.036	0.019
49	0.18198114	0.19010313	30.180	4.831	0.898	0.071	0.036	0.019
50	0.18211630	0.18901714	30.278	4.856	0.898	0.072	0.036	0.019
51	0.18193168	0.19041946	30.192	4.857	0.898	0.071	0.036	0.019
52	0.18192017	0.19009128	30.161	4.852	0.897	0.072	0.036	0.019
53	0.18192123	0.19016485	30.158	4.837	0.897	0.071	0.036	0.019
54	0.18200736	0.18905814	30.233	4.858	0.898	0.071	0.036	0.019
55	0.18200411	0.18895075	30.192	4.777	0.898	0.071	0.036	0.019
56	0.18185922	0.18942617	30.157	4.828	0.897	0.071	0.036	0.019
57	0.18193875	0.18875651	30.236	4.824	0.898	0.071	0.036	0.019
58	0.18196974	0.18913096	30.244	4.861	0.898	0.071	0.036	0.019
59	0.18198037	0.18995931	30.153	4.846	0.898	0.071	0.036	0.019
60	0.18187183	0.18939210	30.234	4.852	0.899	0.070	0.036	0.019
61	0.18187552	0.18950935	30.167	4.844	0.898	0.071	0.036	0.019
62	0.18196415	0.18880558	30.269	4.845	0.899	0.070	0.036	0.019
63	0.18191423	0.19031583	30.181	4.871	0.898	0.071	0.036	0.019
64	0.18171944	0.19005722	30.151	4.854	0.897	0.071	0.036	0.019
65	0.18186420	0.19025849	30.105	4.806	0.897	0.071	0.036	0.019
66	0.18190232	0.18895743	30.257	4.781	0.899	0.070	0.035	0.019
67	0.18200463	0.18945681	30.185	4.803	0.898	0.071	0.036	0.019
68	0.18188936	0.18967690	30.178	4.872	0.898	0.071	0.036	0.019
69	0.18165429	0.18894238	30.238	4.832	0.899	0.070	0.036	0.019
70	0.18182486	0.19056091	30.125	4.853	0.897	0.072	0.036	0.019
71	0.18162128	0.18995623	30.127	4.835	0.898	0.071	0.036	0.019
72	0.18166681	0.18952809	30.206	4.834	0.898	0.071	0.036	0.019
73	0.18172789	0.19061975	30.103	4.863	0.897	0.071	0.036	0.019
74	0.18169644	0.19026667	30.147	4.844	0.897	0.071	0.036	0.019
75	0.18166928	0.18997205	30.155	4.854	0.897	0.072	0.036	0.019
76	0.18170060	0.18978967	30.190	4.854	0.899	0.070	0.036	0.019
77	0.18180237	0.19023702	30.109	4.853	0.897	0.071	0.036	0.019
78	0.18167811	0.19115336	30.070	4.901	0.897	0.072	0.037	0.020
79	0.18164455	0.19002946	30.173	4.892	0.898	0.071	0.036	0.019
80	0.18174105	0.18954231	30.189	4.862	0.898	0.071	0.036	0.019
81	0.18171554	0.19084488	30.102	4.908	0.897	0.072	0.036	0.020
82	0.18173443	0.19038445	30.099	4.873	0.897	0.072	0.036	0.020
83	0.18176693	0.19084653	30.101	4.917	0.897	0.072	0.036	0.020
84	0.18163317	0.19032740	30.089	4.840	0.897	0.071	0.036	0.019
85	0.18170078	0.19016724	30.109	4.836	0.898	0.071	0.036	0.019
86	0.18164903	0.19032739	30.128	4.861	0.898	0.071	0.036	0.019
87	0.18155705	0.18983604	30.153	4.864	0.898	0.071	0.036	0.019
88	0.18179984	0.19024130	30.115	4.871	0.898	0.071	0.036	0.019
89	0.18172614	0.18986584	30.139	4.861	0.898	0.071	0.036	0.019
90	0.18162655	0.19006785	30.104	4.844	0.897	0.071	0.036	0.019
91	0.18147631	0.19055588	30.069	4.850	0.897	0.071	0.036	0.019
92	0.18172000	0.19049220	30.075	4.873	0.897	0.071	0.036	0.020
93	0.18165325	0.19084506	30.058	4.869	0.897	0.071	0.037	0.020
94	0.18150992	0.19051361	30.127	4.866	0.898	0.071	0.036	0.019
95	0.18152553	0.19010689	30.168	4.889	0.898	0.071	0.036	0.020
96	0.18169316	0.19100974	30.033	4.862	0.896	0.072	0.037	0.020
97	0.18162550	0.18984795	30.140	4.864	0.898	0.071	0.036	0.019
98	0.18150880	0.19009143	30.137	4.868	0.897	0.071	0.036	0.019
99	0.18154747	0.19062896	30.109	4.882	0.898	0.071	0.036	0.020
100	0.18157031	0.19034392	30.104	4.871	0.897	0.071	0.036	0.020
101	0.18159127	0.19027618	30.114	4.882	0.897	0.072	0.036	0.020
102	0.18158453	0.19070664	30.036	4.880	0.897	0.072	0.037	0.020
103	0.18151357	0.19076274	30.071	4.862	0.897	0.071	0.036	0.020
104	0.18152869	0.19127092	30.041	4.915	0.897	0.072	0.037	0.020
105	0.18153963	0.18993219	30.117	4.862	0.898	0.071	0.036	0.019
106	0.18151314	0.19114915	30.039	4.868	0.897	0.071	0.037	0.020
107	0.18142489	0.18994684	30.163	4.891	0.898	0.071	0.036	0.019
108	0.18134733	0.19049710	30.062	4.847	0.897	0.071	0.036	0.020
109	0.18152045	0.19158809	29.987	4.931	0.896	0.072	0.037	0.020
110	0.18142554	0.19054377	30.074	4.892	0.897	0.071	0.036	0.020
111	0.18155060	0.19072333	30.049	4.869	0.897	0.072	0.037	0.020
112	0.18150778	0.19067320	30.032	4.903	0.897	0.071	0.037	0.020
113	0.18158925	0.19057216	30.027	4.874	0.897	0.071	0.037	0.020
114	0.18153586	0.19084799	30.040	4.901	0.897	0.071	0.037	0.020
115	0.18153257	0.18991870	30.123	4.857	0.898	0.071	0.036	0.019
116	0.18148444	0.19107440	30.057	4.910	0.897	0.072	0.037	0.020
117	0.18148165	0.19057174	30.052	4.874	0.897	0.071	0.037	0.020
118	0.18143394	0.19042846	30.083	4.884	0.897	0.071	0.036	0.020
119	0.18130333	0.19117885	29.999	4.908	0.896	0.072	0.037	0.020
120	0.18141472	0.19052183	30.064	4.874	0.897	0.071	0.036	0.020
121	0.18161208	0.19076130	30.074	4.894	0.897	0.072	0.036	0.020
122	0.18148887	0.19114606	30.022	4.908	0.896	0.072	0.037	0.020
123	0.18139273	0.19016151	30.093	4.875	0.897	0.071	0.036	0.020
124	0.18138816	0.19030502	30.101	4.880	0.897	0.071	0.036	0.020
125	0.18143984	0.19057783	30.048	4.855	0.897	0.071	0.037	0.020
126	0.18142738	0.19029397	30.089	4.881	0.897	0.071	0.036	0.020
127	0.18140342	0.19057145	30.068	4.883	0.897	0.071	0.036	0.020
128	0.18142440	0.19079381	30.069	4.898	0.897	0.072	0.037	0.020
129	0.18142296	0.19037880	30.056	4.842	0.897	0.071	0.036	0.019
130	0.18142610	0.19149392	30.000	4.958	0.896	0.072	0.037	0.020
131	0.18136963	0.19107260	30.016	4.905	0.896	0.072	0.037	0.020
132	0.18141003	0.19045736	30.077	4.889	0.897	0.071	0.036	0.020
133	0.18134528	0.19081531	30.059	4.921	0.897	0.072	0.037	0.020
134	0.18146277	0.19085737	30.052	4.913	0.897	0.072	0.037	0.020
135	0.18157482	0.19029167	30.081	4.863	0.897	0.071	0.036	0.020
136	0.18133256	0.19075543	30.053	4.883	0.897	0.071	0.037	0.020
137	0.18152589	0.19083145	30.065	4.885	0.897	0.072	0.037	0.020
138	0.18141256	0.19064286	30.062	4.908	0.897	0.072	0.037	0.020
139	0.18137431	0.19072823	30.052	4.889	0.897	0.071	0.037	0.020
140	0.18137338	0.18995692	30.100	4.871	0.898	0.071	0.036	0.020
141	0.18152850	0.19067479	30.061	4.888	0.897	0.071	0.037	0.020
142	0.18144497	0.19075942	30.058	4.907	0.897	0.071	0.037	0.020
143	0.18150385	0.19087813	30.050	4.894	0.897	0.071	0.037	0.020
144	0.18150839	0.19151681	29.988	4.927	0.896	0.072	0.037	0.020
145	0.18130003	0.19127194	29.997	4.919	0.896	0.072	0.037	0.020
146	0.18131000	0.19090912	30.015	4.907	0.896	0.072	0.037	0.020
147	0.18147872	0.19070090	30.064	4.900	0.897	0.072	0.037	0.020
148	0.18153214	0.19066207	30.027	4.870	0.897	0.071	0.037	0.020
149	0.18148760	0.19087831	30.038	4.902	0.897	0.071	0.037	0.020
150	0.18125866	0.19079471	30.032	4.913	0.897	0.072	0.037	0.020
