ImageName, PSNR, SSIM, MSE
07_patch07_33_001,27.2364,0.5475,58.555908
07_patch07_33_002,26.6871,0.5191,57.372070
07_patch07_33_003,27.4494,0.5414,55.613525
07_patch07_33_004,27.0299,0.5352,59.102783
07_patch07_34_000,27.8627,0.5553,58.243408
07_patch07_34_001,27.6372,0.5503,58.600342
07_patch07_34_002,26.9924,0.5408,58.781982
07_patch07_34_003,27.0625,0.5287,59.450684
07_patch07_34_004,27.7861,0.5547,56.261230
07_patch07_34_005,25.7501,0.5236,64.446533
07_patch07_34_006,26.0882,0.5196,62.301514
07_patch07_34_007,26.7757,0.5633,57.305664
07_patch07_34_008,26.2177,0.5359,60.974854
07_patch07_34_009,28.3915,0.5709,55.674561
07_patch07_34_010,27.3567,0.5630,53.449707
07_patch07_35_000,25.8944,0.4918,67.418457
07_patch07_35_001,26.4925,0.4921,65.823975
07_patch07_35_002,27.0981,0.5187,58.469971
07_patch07_35_003,26.2943,0.4940,63.884033
07_patch07_35_004,26.5488,0.5127,61.446777
07_patch07_35_005,26.8471,0.5246,60.953857
07_patch07_35_006,26.5705,0.5162,61.479492
07_patch07_35_007,24.9578,0.4853,67.072510
07_patch07_35_008,25.2720,0.4915,66.454102
07_patch07_35_009,26.0628,0.5087,62.116455
07_patch07_35_010,25.7236,0.5022,63.195557
07_patch07_35_011,25.9869,0.5045,64.829102
07_patch07_35_012,27.6619,0.5343,61.400879
07_patch07_35_013,26.8189,0.5147,63.265381
07_patch07_36_000,27.2457,0.5361,58.416748
07_patch07_36_001,26.4652,0.5126,61.557129
07_patch07_36_002,26.7063,0.5028,64.696045
07_patch07_36_003,25.2684,0.5113,70.992188
07_patch07_36_004,27.1266,0.5137,59.452393
07_patch07_36_005,25.6910,0.5156,67.255615
07_patch07_36_006,26.8839,0.5454,61.256592
07_patch07_36_007,28.2322,0.5648,55.504883
07_patch07_36_008,26.3299,0.5287,64.635986
07_patch07_36_009,28.2249,0.5468,55.980957
07_patch07_36_010,26.9080,0.5326,61.768311
07_patch07_36_011,26.9306,0.5349,58.706787
07_patch07_36_012,26.4903,0.5340,60.585449
07_patch07_36_013,26.0281,0.5170,62.345947
07_patch07_36_014,24.9844,0.5081,64.994385
07_patch07_36_015,24.8439,0.4871,69.215820
07_patch07_36_016,27.0842,0.4974,61.063232
07_patch07_36_017,25.8869,0.5279,62.271484
07_patch07_36_018,26.0425,0.5386,61.308350
07_patch07_36_019,26.7559,0.5392,57.616943
07_patch07_36_020,25.7272,0.5213,61.736572
07_patch07_36_021,27.6886,0.5501,58.969238
07_patch07_36_022,26.8655,0.5570,57.386230
07_patch07_37_000,26.1124,0.4989,63.037842
07_patch07_37_001,26.6634,0.5354,60.698975
07_patch07_37_002,25.9741,0.5204,66.624023
07_patch07_37_003,26.7098,0.4932,61.832031
07_patch07_37_004,25.2262,0.5163,71.630615
07_patch07_37_005,26.6700,0.4992,59.858154
07_patch07_37_006,25.5117,0.5070,67.398438
07_patch07_37_007,27.2554,0.5073,59.770752
07_patch07_37_008,25.9216,0.5250,63.311035
07_patch07_37_009,27.3715,0.5222,58.979492
07_patch07_37_010,25.5109,0.5309,65.682617
07_patch07_37_011,27.4759,0.5383,60.526611
07_patch07_37_012,26.2522,0.5366,63.120850
