ImageName, PSNR, SSIM, MSE
L506_frame003,32.5266,0.9426,21.892727
L506_frame004,32.7103,0.9466,20.770592
L506_frame005,32.6006,0.9472,21.282864
L506_frame006,32.6647,0.9460,21.581554
L506_frame007,32.5038,0.9486,20.985786
L506_frame008,32.3550,0.9507,21.168121
L506_frame009,32.4245,0.9505,21.184334
L506_frame010,32.5220,0.9515,20.649994
L506_frame011,32.3063,0.9505,20.775425
L506_frame012,32.2718,0.9506,21.497078
L506_frame013,32.1016,0.9511,22.103275
L506_frame014,32.5096,0.9509,20.840622
L506_frame015,32.5102,0.9495,21.320724
L506_frame016,32.4717,0.9517,22.150826
L506_frame017,33.4985,0.9523,19.289238
L506_frame018,33.2979,0.9495,19.693993
L506_frame019,33.3309,0.9499,20.015198
L506_frame020,33.0052,0.9495,20.917633
L506_frame021,31.5839,0.9478,26.257668
L506_frame022,31.1051,0.9493,27.768349
L506_frame023,30.9083,0.9483,29.315407
L506_frame024,30.6556,0.9475,30.255123
L506_frame025,31.0006,0.9477,29.806690
L506_frame026,31.0093,0.9464,29.448677
L506_frame027,30.4462,0.9437,31.412670
L506_frame028,30.5029,0.9423,31.097168
L506_frame029,30.3904,0.9411,32.012783
L506_frame030,30.1578,0.9375,33.475491
L506_frame031,30.2560,0.9379,33.479176
L506_frame032,30.6076,0.9397,32.436375
L506_frame033,30.3509,0.9377,33.304211
L506_frame034,29.8713,0.9369,34.893375
L506_frame035,29.7421,0.9366,35.997742
L506_frame036,29.8320,0.9313,37.411251
L506_frame037,29.3888,0.9287,41.070961
L506_frame038,29.0684,0.9233,43.588707
L506_frame039,28.7341,0.9172,44.683685
L506_frame040,28.6903,0.9160,44.551483
L506_frame041,28.5712,0.9110,45.085041
L506_frame042,28.7006,0.9044,45.176163
L506_frame043,28.6378,0.9037,45.848000
L506_frame044,28.2753,0.9003,47.232609
L506_frame045,28.4866,0.8964,46.604870
L506_frame046,28.6355,0.8962,47.100899
L506_frame047,28.6980,0.8932,46.557323
L506_frame048,28.9272,0.8883,45.987728
L506_frame049,28.5251,0.8888,47.719418
L506_frame050,28.3556,0.8862,48.009167
L506_frame051,28.5224,0.8829,46.765442
L506_frame052,28.4342,0.8829,47.658611
L506_frame053,28.5580,0.8820,46.709091
L506_frame054,28.9844,0.8774,43.878208
L506_frame055,28.8314,0.8804,45.062439
L506_frame056,29.0164,0.8804,44.563847
L506_frame057,29.4232,0.8770,42.839752
L506_frame058,29.3401,0.8827,43.199326
L506_frame059,29.4238,0.8804,43.176720
L506_frame060,28.9262,0.8752,44.425579
L506_frame061,28.6695,0.8754,45.227310
L506_frame062,28.5644,0.8762,45.338078
L506_frame063,28.4966,0.8717,45.770523
L506_frame064,28.4164,0.8751,45.934715
L506_frame065,28.5545,0.8763,45.426994
L506_frame066,28.8887,0.8716,43.926971
L506_frame067,28.4843,0.8737,45.535950
L506_frame068,28.5465,0.8734,45.149452
L506_frame069,28.3917,0.8676,45.357361
L506_frame070,28.3438,0.8710,44.836609
L506_frame071,28.5211,0.8703,44.745792
L506_frame072,28.5907,0.8663,44.883686
L506_frame073,28.4646,0.8659,45.613770
L506_frame074,28.7162,0.8685,44.124699
L506_frame075,28.8961,0.8673,44.041344
L506_frame076,29.1100,0.8704,43.299133
L506_frame077,29.0632,0.8735,43.319695
L506_frame078,29.3811,0.8708,41.902771
L506_frame079,29.3653,0.8733,42.540607
L506_frame080,29.4560,0.8765,42.267418
L506_frame081,29.6244,0.8717,41.334209
L506_frame082,29.4639,0.8768,41.998234
L506_frame083,29.1595,0.8770,43.436203
L506_frame084,28.7250,0.8729,45.449005
L506_frame085,28.8586,0.8774,45.131313
L506_frame086,28.8487,0.8766,45.055977
L506_frame087,28.8774,0.8687,43.433693
L506_frame088,28.5899,0.8733,44.353432
L506_frame089,28.2560,0.8715,45.379982
L506_frame090,28.6729,0.8676,44.230225
L506_frame091,28.9125,0.8754,43.168751
L506_frame092,28.9359,0.8788,43.485554
L506_frame093,29.5588,0.8809,40.255035
