Epoch	TrainLoss	ValidLoss	PSNR	PSNR_std	SSIM	SSIM_std	NRMSE	NRMSE_std
1	0.55755647	0.17291347	27.774	1.702	0.852	0.031	0.042	0.008
2	0.49613698	0.16128105	30.147	1.690	0.910	0.014	0.032	0.006
3	0.49182775	0.10088056	31.104	2.091	0.957	0.011	0.029	0.007
4	0.48946347	0.08482151	32.000	1.995	0.964	0.010	0.026	0.006
5	0.48942997	0.07872628	32.349	1.901	0.965	0.010	0.025	0.006
6	0.48870990	0.10988874	32.272	2.133	0.961	0.010	0.025	0.007
7	0.48820636	0.07465926	32.310	2.106	0.969	0.008	0.025	0.007
8	0.48791191	0.25691033	30.530	2.140	0.901	0.037	0.031	0.007
9	0.49170118	0.07238942	33.088	2.162	0.965	0.009	0.023	0.006
10	0.48559489	0.06870480	33.152	2.222	0.976	0.008	0.023	0.007
11	0.48537402	0.06557888	33.193	2.360	0.967	0.010	0.023	0.007
12	0.48632019	0.11258468	32.711	2.249	0.967	0.008	0.024	0.007
13	0.48525841	0.06194897	33.516	2.431	0.976	0.008	0.022	0.007
14	0.48480148	0.06363641	33.314	2.273	0.972	0.010	0.022	0.007
15	0.48377119	0.06669551	32.831	2.317	0.974	0.008	0.024	0.007
16	0.48613766	0.05195826	33.869	2.427	0.978	0.009	0.021	0.007
17	0.48962035	0.09234494	33.213	2.369	0.954	0.013	0.023	0.007
18	0.48415171	0.05612650	33.316	2.298	0.980	0.008	0.022	0.007
19	0.48324945	0.06358130	32.926	2.300	0.974	0.008	0.023	0.007
20	0.48382905	0.05408557	34.111	2.545	0.982	0.008	0.021	0.007
21	0.48310687	0.06636859	32.687	2.125	0.978	0.009	0.024	0.007
22	0.48440025	0.06739743	33.930	2.476	0.976	0.008	0.021	0.007
23	0.48389762	0.06173302	33.329	2.379	0.978	0.008	0.022	0.007
24	0.48347953	0.05479934	33.688	2.652	0.980	0.009	0.022	0.008
25	0.48425448	0.05031386	34.156	2.676	0.982	0.008	0.021	0.008
26	0.48394475	0.06220412	34.121	2.598	0.981	0.009	0.021	0.007
27	0.48333881	0.06818116	32.528	2.145	0.980	0.009	0.024	0.007
28	0.48385386	0.07623431	34.204	2.682	0.978	0.009	0.021	0.007
29	0.48406938	0.05837807	34.204	2.762	0.980	0.008	0.021	0.008
30	0.48335539	0.05114217	33.939	2.729	0.983	0.009	0.021	0.008
31	0.48841717	0.19258046	31.447	2.095	0.936	0.024	0.028	0.007
32	0.48454417	0.06179553	33.733	2.587	0.982	0.008	0.022	0.007
33	0.48393815	0.05875641	34.214	2.762	0.981	0.008	0.021	0.008
34	0.48340229	0.06048020	34.108	2.810	0.982	0.009	0.021	0.008
35	0.48207628	0.05691020	32.940	2.384	0.979	0.009	0.024	0.008
36	0.48382544	0.05138545	34.078	2.574	0.983	0.008	0.021	0.007
37	0.48346782	0.04867710	34.383	2.800	0.985	0.009	0.020	0.008
38	0.48282537	0.05416275	34.869	2.968	0.983	0.009	0.019	0.008
39	0.48368714	0.05363123	34.266	2.817	0.984	0.009	0.021	0.008
40	0.48235784	0.05765649	34.303	2.817	0.984	0.009	0.020	0.008
41	0.48274845	0.05030931	35.002	3.102	0.986	0.009	0.019	0.008
42	0.48161218	0.05184505	34.036	2.690	0.983	0.009	0.021	0.008
43	0.48266341	0.05286294	34.102	2.758	0.984	0.009	0.021	0.008
44	0.48283953	0.06256731	34.858	3.056	0.985	0.009	0.019	0.008
45	0.48292475	0.05811291	34.312	2.893	0.983	0.009	0.020	0.008
46	0.48225192	0.05389021	33.541	2.561	0.983	0.009	0.022	0.008
47	0.48175334	0.05088002	34.597	2.911	0.985	0.009	0.020	0.008
48	0.48304429	0.05599128	34.263	2.895	0.982	0.009	0.021	0.008
49	0.48227098	0.06255919	34.087	2.862	0.982	0.009	0.021	0.008
50	0.48230719	0.04812314	34.574	3.041	0.983	0.010	0.020	0.008
51	0.48172318	0.05165949	34.443	2.834	0.984	0.009	0.020	0.008
52	0.48168517	0.05550842	33.955	2.715	0.983	0.009	0.021	0.008
53	0.48338619	0.05425832	34.403	2.898	0.985	0.009	0.020	0.008
54	0.48232052	0.05496826	33.338	2.462	0.980	0.009	0.023	0.008
55	0.48147277	0.05167638	34.422	2.823	0.983	0.009	0.020	0.008
56	0.48147817	0.06123071	32.966	2.370	0.981	0.009	0.023	0.007
57	0.48319268	0.05590199	34.260	2.756	0.984	0.009	0.020	0.008
58	0.48252627	0.05378358	34.439	2.935	0.985	0.009	0.020	0.008
59	0.48263014	0.04810418	34.424	2.881	0.985	0.009	0.020	0.008
60	0.48175272	0.05641027	33.773	2.726	0.984	0.009	0.022	0.008
61	0.48160743	0.05455076	34.577	3.020	0.983	0.009	0.020	0.008
62	0.48144841	0.05064577	34.536	2.962	0.986	0.009	0.020	0.008
63	0.48206441	0.05036932	34.097	2.805	0.984	0.009	0.021	0.008
64	0.48160107	0.04874562	33.719	2.677	0.983	0.009	0.022	0.008
65	0.48295321	0.04958991	34.231	2.825	0.985	0.009	0.021	0.008
66	0.48285243	0.05335023	34.176	2.803	0.983	0.009	0.021	0.008
67	0.48270315	0.04926584	34.094	2.852	0.984	0.009	0.021	0.008
68	0.48227315	0.04914699	34.288	2.935	0.985	0.009	0.021	0.008
69	0.48145614	0.05224037	34.069	2.787	0.984	0.009	0.021	0.008
70	0.48166801	0.05273501	34.022	2.720	0.984	0.009	0.021	0.008
71	0.48217120	0.05006940	34.165	2.852	0.985	0.009	0.021	0.008
72	0.48162143	0.05242211	34.757	3.051	0.985	0.009	0.020	0.008
73	0.48259905	0.04968324	34.545	2.966	0.985	0.009	0.020	0.008
74	0.48166847	0.04982547	34.251	2.885	0.984	0.009	0.021	0.008
75	0.48096700	0.04710992	34.430	2.958	0.985	0.009	0.020	0.008
76	0.48117622	0.04957053	34.529	3.085	0.985	0.010	0.020	0.009
77	0.48175199	0.04899902	34.127	2.977	0.984	0.010	0.021	0.009
78	0.48010865	0.04990747	34.148	2.943	0.984	0.010	0.021	0.008
79	0.48141496	0.05046534	34.228	2.903	0.984	0.010	0.021	0.008
80	0.48238535	0.04825152	34.741	3.125	0.985	0.009	0.020	0.009
81	0.48234386	0.04856377	34.708	3.099	0.986	0.010	0.020	0.009
82	0.48191706	0.04939681	34.486	3.034	0.985	0.010	0.020	0.008
83	0.48224507	0.05050487	34.469	2.999	0.984	0.010	0.020	0.008
84	0.48123532	0.05200335	34.472	3.084	0.985	0.010	0.020	0.009
85	0.48165103	0.05141949	34.556	3.075	0.985	0.010	0.020	0.009
86	0.48208268	0.05210570	34.543	3.034	0.985	0.010	0.020	0.008
87	0.48235965	0.06636179	34.083	2.917	0.984	0.010	0.021	0.009
88	0.48158614	0.04883009	34.237	2.932	0.985	0.010	0.021	0.008
89	0.48130270	0.05157251	34.499	3.053	0.985	0.010	0.020	0.009
90	0.48110006	0.04865409	34.325	3.002	0.985	0.010	0.021	0.009
91	0.48089829	0.05105118	33.997	2.814	0.984	0.010	0.021	0.008
92	0.48221933	0.04636131	34.597	3.098	0.986	0.010	0.020	0.009
93	0.48219096	0.05153253	34.205	2.999	0.984	0.010	0.021	0.009
94	0.48192714	0.04929032	34.479	3.091	0.985	0.010	0.020	0.009
95	0.48215681	0.04988087	34.640	3.122	0.985	0.010	0.020	0.009
96	0.48208476	0.04885239	34.240	3.015	0.985	0.010	0.021	0.009
97	0.48228709	0.05117590	34.403	3.043	0.985	0.010	0.020	0.009
98	0.48231742	0.05091353	33.955	2.871	0.983	0.010	0.021	0.008
99	0.48205641	0.04938048	34.485	3.142	0.985	0.010	0.020	0.009
100	0.48207977	0.05161823	33.897	2.899	0.983	0.010	0.022	0.009
101	0.48186216	0.04902624	34.008	2.946	0.984	0.010	0.021	0.009
102	0.48180944	0.04803771	34.227	3.040	0.984	0.010	0.021	0.009
103	0.48194468	0.05118768	34.334	3.033	0.984	0.010	0.021	0.009
104	0.48048889	0.04783745	34.254	3.016	0.985	0.010	0.021	0.009
105	0.48076739	0.04866485	34.490	3.142	0.985	0.010	0.020	0.009
106	0.48166103	0.05083367	34.265	3.051	0.984	0.010	0.021	0.009
107	0.48214107	0.04842662	34.141	3.020	0.984	0.010	0.021	0.009
108	0.48192472	0.04936663	34.217	3.011	0.984	0.010	0.021	0.009
109	0.48179005	0.04669213	34.545	3.149	0.985	0.010	0.020	0.009
