ImageName, PSNR, SSIM, MSE
00_patch00_01_001,27.1101,0.5208,62.118164
00_patch00_01_002,27.2282,0.5286,61.351562
00_patch00_01_003,27.9413,0.5464,56.711182
00_patch00_01_004,28.5164,0.5573,53.190918
00_patch00_01_005,28.0959,0.5561,53.432129
00_patch00_01_006,26.4644,0.4780,65.770996
00_patch00_01_007,26.2352,0.4595,69.787109
00_patch00_01_008,26.2752,0.4644,68.932373
00_patch00_01_009,26.4617,0.4653,68.987549
00_patch00_01_010,27.3106,0.5049,61.537109
00_patch00_01_011,28.3542,0.5521,56.235596
00_patch00_01_012,28.6090,0.5243,56.199463
00_patch00_01_013,27.4312,0.4916,61.540283
00_patch00_01_014,26.9578,0.4914,63.072754
00_patch00_01_015,26.7333,0.4713,66.020264
00_patch00_01_016,26.7309,0.4496,67.471680
00_patch00_01_017,27.0686,0.4686,66.396240
00_patch00_01_018,27.7439,0.5000,62.255859
00_patch00_01_019,27.6849,0.4871,63.376465
00_patch00_01_020,27.9470,0.5002,62.009766
00_patch00_02_000,27.3362,0.5220,58.326904
00_patch00_02_001,25.6867,0.4647,68.804688
00_patch00_02_002,25.0386,0.4534,69.933105
00_patch00_02_003,25.6429,0.4688,65.894775
00_patch00_02_004,27.2334,0.4924,61.954590
00_patch00_02_005,28.0221,0.5419,55.220947
00_patch00_02_006,26.4806,0.4647,67.538574
00_patch00_02_007,25.2276,0.4335,74.001953
00_patch00_02_008,24.6659,0.4439,75.194092
00_patch00_02_009,25.3328,0.4516,72.520996
00_patch00_02_010,26.9520,0.4807,65.870117
00_patch00_02_011,27.5303,0.5063,61.889893
00_patch00_02_012,27.6214,0.5007,61.945312
00_patch00_02_013,26.6907,0.4563,69.757812
00_patch00_02_014,26.3101,0.4733,69.016357
00_patch00_02_015,25.9854,0.4699,68.448730
00_patch00_02_016,26.3781,0.4587,67.279297
00_patch00_02_017,27.1395,0.4631,67.702637
00_patch00_02_018,27.0201,0.4820,67.831787
00_patch00_02_019,28.5095,0.5453,55.398926
00_patch00_02_020,27.7631,0.5018,63.584229
00_patch00_02_021,27.2505,0.4698,68.781738
00_patch00_02_022,28.3893,0.5242,57.470703
00_patch00_02_023,28.8036,0.5383,55.461914
00_patch00_03_000,27.9442,0.5301,54.764893
00_patch00_03_001,26.9277,0.5255,59.357178
00_patch00_03_002,24.7504,0.4632,73.542236
00_patch00_03_003,23.3390,0.4156,78.114258
00_patch00_03_004,23.6555,0.4170,74.114258
00_patch00_03_005,26.3389,0.4863,62.200684
