Epoch	TrainLoss	ValidLoss	PSNR	PSNR_std	SSIM	SSIM_std	NRMSE	NRMSE_std
1	0.61812311	0.23277389	25.043	1.732	0.791	0.030	0.057	0.010
2	0.52313780	0.16094219	27.913	1.829	0.882	0.025	0.041	0.008
3	0.51769219	0.16711589	29.409	1.960	0.920	0.017	0.035	0.008
4	0.51511442	0.18001983	30.019	1.930	0.923	0.013	0.032	0.007
5	0.51134108	0.11237444	29.812	2.107	0.944	0.012	0.033	0.008
6	0.50845017	0.10525373	30.697	1.890	0.953	0.013	0.030	0.007
7	0.51122146	0.21793539	30.555	2.104	0.923	0.020	0.031	0.007
8	0.50922883	0.10201664	31.335	2.093	0.959	0.011	0.028	0.007
9	0.50587416	0.09467825	31.426	1.842	0.965	0.010	0.027	0.006
10	0.50574912	0.09383337	31.162	2.027	0.950	0.016	0.028	0.007
11	0.50515155	0.10182485	30.159	1.683	0.958	0.009	0.032	0.007
12	0.50505292	0.09398525	30.657	1.761	0.960	0.010	0.030	0.007
13	0.50495213	0.08582163	31.251	1.704	0.964	0.009	0.028	0.006
14	0.50443191	0.10409551	30.704	1.579	0.958	0.009	0.030	0.006
15	0.50213697	0.07894883	31.171	1.637	0.970	0.008	0.028	0.006
16	0.50316873	0.09229395	29.997	1.488	0.958	0.008	0.032	0.006
17	0.50387940	0.08229465	31.063	1.638	0.966	0.008	0.029	0.006
18	0.50406334	0.07339471	32.193	1.902	0.972	0.010	0.025	0.006
19	0.50162104	0.08390125	31.073	1.780	0.971	0.009	0.029	0.006
20	0.50352604	0.09764297	30.700	1.662	0.968	0.009	0.030	0.006
21	0.50554867	0.11028090	32.646	2.085	0.959	0.013	0.024	0.006
22	0.50598207	0.08796655	31.147	1.852	0.954	0.014	0.028	0.007
23	0.50360787	0.08196540	31.615	2.027	0.969	0.009	0.027	0.007
24	0.50263223	0.06943151	32.002	1.972	0.972	0.009	0.026	0.007
25	0.50315869	0.08398907	31.258	1.781	0.967	0.009	0.028	0.006
26	0.50292530	0.07145217	32.289	1.945	0.977	0.009	0.025	0.006
27	0.50185605	0.08938179	30.628	2.032	0.965	0.010	0.030	0.007
28	0.50121121	0.08097562	32.328	2.050	0.974	0.010	0.025	0.007
29	0.50075734	0.08610684	30.966	1.994	0.967	0.010	0.029	0.007
30	0.50179343	0.08144266	31.435	1.895	0.975	0.009	0.027	0.007
