Epoch	TrainLoss	ValidLoss	PSNR	PSNR_std	SSIM	SSIM_std	NRMSE	NRMSE_std
83	0.06547922	0.89117371	23.845	2.315	0.628	0.102	0.067	0.017
84	0.06545815	0.89700705	23.800	2.340	0.627	0.103	0.067	0.018
85	0.06545594	0.90378157	23.744	2.373	0.624	0.106	0.067	0.018
86	0.06543986	0.88079233	23.830	2.317	0.627	0.102	0.067	0.017
87	0.06545885	0.89284627	23.763	2.347	0.625	0.105	0.067	0.018
88	0.06547015	0.88846309	23.811	2.348	0.626	0.104	0.067	0.018
89	0.06545212	0.89308088	23.841	2.335	0.628	0.102	0.067	0.017
90	0.06545999	0.88859949	23.800	2.346	0.626	0.104	0.067	0.018
91	0.06545619	0.90521276	23.873	2.309	0.629	0.101	0.066	0.017
92	0.06546120	0.90079994	23.867	2.323	0.629	0.102	0.066	0.017
93	0.06545855	0.88763096	23.795	2.354	0.626	0.104	0.067	0.018
94	0.06544799	0.88860518	23.847	2.323	0.628	0.102	0.067	0.017
95	0.06545148	0.88222050	23.913	2.281	0.631	0.099	0.066	0.017
96	0.06545300	0.88851292	23.865	2.315	0.629	0.101	0.066	0.017
97	0.06545487	0.89199863	23.730	2.377	0.624	0.106	0.068	0.018
98	0.06545627	0.89080237	23.821	2.327	0.627	0.103	0.067	0.017
99	0.06545305	0.89449070	23.789	2.338	0.626	0.104	0.067	0.017
100	0.06544915	0.89239708	23.853	2.311	0.629	0.101	0.066	0.017
101	0.06543551	0.89016258	23.816	2.332	0.627	0.103	0.067	0.017
102	0.06546128	0.88998587	23.840	2.327	0.628	0.102	0.067	0.017
103	0.06545626	0.89989655	23.851	2.325	0.628	0.102	0.066	0.017
104	0.06544869	0.89237240	23.866	2.314	0.629	0.101	0.066	0.017
105	0.06545682	0.89265045	23.852	2.323	0.629	0.102	0.066	0.017
106	0.06543412	0.89268605	23.852	2.327	0.628	0.102	0.066	0.017
107	0.06543174	0.88469194	23.823	2.335	0.627	0.103	0.067	0.017
108	0.06545066	0.89086929	23.785	2.350	0.626	0.104	0.067	0.018
109	0.06543917	0.89296908	23.844	2.319	0.628	0.102	0.067	0.017
110	0.06544819	0.88664120	23.824	2.330	0.627	0.103	0.067	0.017
111	0.06542424	0.88986390	23.756	2.379	0.624	0.106	0.067	0.018
112	0.06542912	0.88939785	23.822	2.332	0.627	0.102	0.067	0.017
113	0.06543461	0.89618237	23.794	2.351	0.626	0.104	0.067	0.018
114	0.06541431	0.88632927	23.788	2.349	0.626	0.104	0.067	0.018
115	0.06544283	0.89138154	23.843	2.326	0.628	0.102	0.067	0.017
116	0.06544527	0.89538499	23.830	2.330	0.627	0.103	0.067	0.017
117	0.06543299	0.89327436	23.783	2.358	0.626	0.104	0.067	0.018
118	0.06546512	0.88734742	23.838	2.323	0.629	0.102	0.067	0.017
119	0.06544857	0.88965255	23.849	2.320	0.628	0.102	0.066	0.017
120	0.06545806	0.89132275	23.820	2.337	0.627	0.103	0.067	0.017
121	0.06544610	0.89006788	23.866	2.318	0.629	0.101	0.066	0.017
122	0.06544296	0.89042825	23.819	2.346	0.627	0.103	0.067	0.018
123	0.06541997	0.89172038	23.826	2.334	0.628	0.103	0.067	0.017
124	0.06541409	0.89137977	23.824	2.346	0.627	0.103	0.067	0.018
125	0.06545150	0.89617306	23.803	2.341	0.627	0.103	0.067	0.018
126	0.06543905	0.89710914	23.832	2.333	0.628	0.103	0.067	0.017
127	0.06543822	0.88943703	23.839	2.326	0.628	0.102	0.067	0.017
128	0.06543377	0.89209449	23.791	2.346	0.626	0.104	0.067	0.018
129	0.06544809	0.89302651	23.848	2.315	0.629	0.102	0.066	0.017
130	0.06543395	0.89324803	23.862	2.305	0.629	0.101	0.066	0.017
131	0.06542691	0.89534772	23.853	2.318	0.629	0.102	0.066	0.017
132	0.06545050	0.89523608	23.809	2.331	0.627	0.103	0.067	0.017
133	0.06541411	0.89478053	23.817	2.334	0.627	0.103	0.067	0.017
134	0.06545323	0.89348184	23.864	2.322	0.629	0.101	0.066	0.017
135	0.06543521	0.89226487	23.801	2.348	0.626	0.104	0.067	0.018
136	0.06542124	0.89413524	23.837	2.328	0.628	0.102	0.067	0.017
137	0.06543104	0.89214870	23.755	2.377	0.625	0.105	0.067	0.018
138	0.06544659	0.88926720	23.799	2.350	0.626	0.104	0.067	0.018
139	0.06543657	0.88995504	23.829	2.337	0.627	0.103	0.067	0.017
