ImageName, PSNR, SSIM, MSE
00_patch00_01_001,26.3108,0.5137,65.366211
00_patch00_01_002,26.5219,0.5089,65.777588
00_patch00_01_003,27.0679,0.5280,61.040771
00_patch00_01_004,27.2965,0.5448,60.368408
00_patch00_01_005,27.4188,0.5679,56.938965
00_patch00_01_006,25.8996,0.4813,72.531250
00_patch00_01_007,25.5514,0.4399,73.482178
00_patch00_01_008,25.4951,0.4336,74.535645
00_patch00_01_009,25.7715,0.4398,72.594971
00_patch00_01_010,26.7394,0.5001,64.888916
00_patch00_01_011,27.7437,0.5511,58.635742
00_patch00_01_012,28.1565,0.5288,61.972656
00_patch00_01_013,27.0502,0.4977,66.563232
00_patch00_01_014,26.4659,0.4745,67.344238
00_patch00_01_015,26.2241,0.4509,69.621582
00_patch00_01_016,26.3366,0.4380,71.091553
00_patch00_01_017,26.6672,0.4559,69.450928
00_patch00_01_018,27.0818,0.4995,66.570312
00_patch00_01_019,27.3739,0.4793,64.789551
00_patch00_01_020,27.4821,0.4902,65.921631
00_patch00_02_000,26.0502,0.5068,64.583984
00_patch00_02_001,24.7292,0.4064,74.545654
00_patch00_02_002,24.5411,0.4165,75.671631
00_patch00_02_003,24.8140,0.4267,71.000732
00_patch00_02_004,26.0760,0.4825,65.502930
00_patch00_02_005,27.2572,0.5472,60.781006
00_patch00_02_006,25.7095,0.4412,74.383057
00_patch00_02_007,24.6486,0.3930,77.395752
00_patch00_02_008,24.4119,0.4116,77.447998
00_patch00_02_009,24.8719,0.4029,75.593262
00_patch00_02_010,26.3650,0.4470,68.857178
00_patch00_02_011,26.8119,0.4903,64.235352
00_patch00_02_012,27.0198,0.5041,66.089600
00_patch00_02_013,26.1878,0.4541,75.111328
00_patch00_02_014,25.9328,0.4464,72.131348
00_patch00_02_015,25.6572,0.4226,70.250488
00_patch00_02_016,26.1823,0.4256,68.431885
00_patch00_02_017,26.7322,0.4363,69.307373
00_patch00_02_018,26.3484,0.4484,73.368652
00_patch00_02_019,27.4700,0.5237,60.120605
00_patch00_02_020,27.2598,0.4802,66.957520
00_patch00_02_021,26.7435,0.4524,73.510498
00_patch00_02_022,27.7256,0.5057,62.278320
00_patch00_02_023,28.4915,0.5327,57.593750
00_patch00_03_000,26.1076,0.5001,70.214355
00_patch00_03_001,25.4181,0.4399,69.066895
00_patch00_03_002,23.3236,0.3471,80.745117
00_patch00_03_003,22.3489,0.3269,86.858643
00_patch00_03_004,22.6299,0.3354,82.511475
00_patch00_03_005,25.1357,0.4400,70.238281
00_patch00_03_006,26.8061,0.5525,60.541016
00_patch00_03_007,26.1711,0.4807,68.027344
