Epoch	TrainLoss	ValidLoss	PSNR	PSNR_std	SSIM	SSIM_std	NRMSE	NRMSE_std
1	0.52045628	0.27354782	20.562	1.443	0.712	0.043	0.095	0.015
2	0.20751288	0.16099697	26.328	1.742	0.865	0.023	0.049	0.009
3	0.15583537	0.17992023	27.846	1.524	0.917	0.010	0.041	0.007
4	0.14267194	0.09226211	30.246	1.491	0.945	0.010	0.031	0.006
5	0.10171318	0.07754716	31.407	1.680	0.963	0.010	0.027	0.006
6	0.10438184	0.06502591	31.646	1.619	0.961	0.009	0.027	0.005
7	0.09365556	0.09450976	32.122	1.749	0.963	0.009	0.025	0.005
8	0.10558316	0.07259587	32.190	1.858	0.967	0.008	0.025	0.006
9	0.09506542	0.07063348	32.075	1.873	0.977	0.009	0.026	0.006
10	0.08621967	0.06166621	32.673	1.765	0.970	0.008	0.024	0.005
11	0.08585040	0.06060262	32.412	1.859	0.972	0.007	0.025	0.006
12	0.08431829	0.05641703	32.170	1.606	0.965	0.007	0.025	0.005
13	0.08417732	0.06607041	32.793	1.837	0.968	0.006	0.023	0.005
14	0.07075176	0.05582634	32.934	1.875	0.968	0.006	0.023	0.006
15	0.07883961	0.05197187	33.116	1.923	0.975	0.006	0.023	0.006
16	0.07813935	0.05360007	32.622	1.835	0.973	0.006	0.024	0.006
17	0.07505433	0.05463909	33.024	2.135	0.981	0.007	0.023	0.006
18	0.07193870	0.05013489	33.345	2.032	0.973	0.006	0.022	0.006
19	0.07529218	0.08786835	32.132	1.870	0.983	0.008	0.025	0.006
20	0.08973023	0.05161842	33.479	2.092	0.975	0.005	0.022	0.006
21	0.07013574	0.04685587	33.623	2.163	0.980	0.006	0.022	0.006
22	0.06406527	0.04707407	33.626	2.001	0.974	0.006	0.021	0.006
23	0.06484697	0.04381515	33.918	2.178	0.981	0.006	0.021	0.006
24	0.06987742	0.04849460	33.774	2.171	0.979	0.006	0.021	0.006
25	0.06402626	0.04735734	33.749	2.265	0.977	0.006	0.021	0.006
26	0.06397247	0.04606797	33.657	2.080	0.977	0.005	0.021	0.006
27	0.06864540	0.04333378	33.772	2.316	0.983	0.007	0.021	0.007
28	0.06177388	0.04490810	33.570	2.310	0.977	0.006	0.022	0.007
29	0.06963865	0.04840870	33.664	2.247	0.977	0.005	0.022	0.006
30	0.07095250	0.04529837	33.709	2.326	0.977	0.006	0.021	0.007
31	0.05294647	0.04536651	33.976	2.506	0.985	0.007	0.021	0.007
32	0.05329182	0.04321765	34.240	2.392	0.984	0.006	0.020	0.006
33	0.05977950	0.04383187	34.088	2.423	0.985	0.007	0.021	0.007
34	0.06427192	0.04103066	34.194	2.495	0.985	0.006	0.020	0.007
35	0.05244095	0.04369463	34.155	2.365	0.983	0.006	0.020	0.006
36	0.06182535	0.04423035	34.084	2.599	0.986	0.007	0.021	0.007
37	0.06073072	0.04575676	33.606	2.367	0.973	0.008	0.022	0.007
38	0.06232058	0.04203476	34.157	2.464	0.983	0.007	0.020	0.007
39	0.05904568	0.03944056	34.387	2.617	0.986	0.007	0.020	0.007
40	0.06999753	0.04097050	34.151	2.626	0.985	0.007	0.021	0.007
41	0.06503196	0.05622899	34.036	2.570	0.987	0.008	0.021	0.007
42	0.06005027	0.04335615	34.367	2.599	0.986	0.007	0.020	0.007
43	0.05922295	0.03939261	34.297	2.615	0.983	0.006	0.020	0.007
