Scan,Image_name, PSNR, SSIM, MSE
L109,164,34.7095,0.8477,19.534107
L109,165,38.0293,0.9202,9.973747
L109,166,35.9693,0.8879,14.266655
L109,167,36.1695,0.8729,14.924191
L109,168,33.6911,0.8065,24.165493
L109,169,36.2692,0.8888,13.767052
L109,170,37.1107,0.8934,12.151550
L109,171,35.4403,0.8620,17.149487
L109,172,35.4727,0.8617,17.040600
L109,173,36.0582,0.8798,14.703995
L109,174,36.6657,0.8868,13.315018
L109,175,33.8122,0.8091,23.715527
L109,176,36.2079,0.8770,14.621998
L109,177,36.4412,0.8850,13.819118
L109,178,34.5605,0.8362,20.658062
L109,179,34.8269,0.8458,19.256046
L109,180,36.3484,0.8831,14.131870
L109,181,36.1692,0.8782,14.735821
L109,182,36.0583,0.8868,14.506554
L109,183,35.9970,0.8752,15.076096
L109,184,36.7342,0.8912,12.772400
L109,185,33.9231,0.8197,22.821819
L109,186,33.6043,0.8047,24.574097
L109,187,34.1372,0.8226,22.218765
L109,188,36.3073,0.8822,14.264774
L109,189,35.2717,0.8573,17.703514
L109,190,34.1785,0.8240,22.158756
L109,191,35.7528,0.8647,16.188770
L109,192,36.4215,0.8852,13.799488
L109,193,33.9540,0.8110,22.738869
L109,194,38.3862,0.9337,9.086014
L109,195,35.3808,0.8599,17.242897
L109,196,35.5281,0.8623,16.891781
L109,197,36.9689,0.8910,12.587940
L109,198,33.7487,0.8045,23.815903
L109,199,36.3345,0.8894,13.859077
L109,200,35.7360,0.8642,16.319271
L109,201,36.7361,0.8865,13.167839
L109,202,35.1468,0.8547,18.175930
L109,203,34.9427,0.8518,18.679485
L109,204,33.9612,0.8088,22.909359
L109,205,34.0726,0.8210,22.390350
L109,206,35.1180,0.8548,18.256485
L109,207,34.1249,0.8199,22.347614
L109,208,35.3796,0.8585,17.218510
L109,209,35.4606,0.8619,16.893955
L109,210,36.0216,0.8893,14.121700
L109,211,37.9541,0.9356,9.734646
L109,212,34.3713,0.8432,20.646591
L109,213,35.8237,0.8737,15.670235
L109,214,35.3474,0.8627,16.831409
L109,215,34.1328,0.8149,22.153461
L109,216,37.9853,0.9314,9.636684
L109,217,36.6575,0.8901,12.935417
L109,218,36.5646,0.8880,13.389313
L109,219,34.6570,0.8459,19.782803
L109,220,36.5880,0.8873,13.630444
L109,221,34.5521,0.8311,20.792728
L109,222,34.5855,0.8339,20.702858
L109,223,36.6258,0.8857,13.493282
L109,224,37.9829,0.9349,9.709820
L109,225,37.7209,0.9192,10.653961
L109,226,33.9682,0.8142,22.925037
L109,227,35.9384,0.8670,15.817966
L109,228,36.2073,0.8829,14.105297
L109,229,34.3502,0.8307,21.462292
L109,230,37.3008,0.9183,11.150871
L109,231,38.3951,0.9341,9.008163
L109,232,35.5793,0.8630,16.552525
L109,233,37.9785,0.9236,10.050217
L109,234,34.6260,0.8291,20.449326
L109,235,34.5663,0.8380,20.561325
L109,236,36.9592,0.9043,12.192295
L109,237,36.2145,0.8780,14.658802
L109,238,33.8346,0.8093,23.506218
L109,239,34.1799,0.8230,22.103344
L109,240,36.3740,0.8836,13.776741
L109,241,38.2811,0.9285,9.354237
L109,242,35.0179,0.8524,18.636311
L109,243,34.5391,0.8373,20.645290
L109,244,33.5709,0.8068,24.564720
L109,245,37.9212,0.9226,10.048199
L109,246,36.3674,0.8841,13.971428
L109,247,34.1920,0.8220,22.014397
L109,248,34.1463,0.8229,21.991386
L109,249,33.5915,0.8027,24.561951
L109,250,36.1420,0.8871,14.386307
L109,251,35.9828,0.8799,14.857311
L109,252,35.9998,0.8751,15.198544
L109,253,36.3178,0.8752,14.537376
L109,254,33.9625,0.8160,23.092083
L109,255,34.0018,0.8170,22.771713
