ImageName, PSNR, SSIM, MSE
L109_frame003,31.8430,0.9129,26.094063
L109_frame004,32.5690,0.9251,23.659016
L109_frame005,32.4932,0.9285,23.322060
L109_frame006,31.7933,0.9247,25.892681
L109_frame007,31.4781,0.9164,27.484821
L109_frame008,31.4994,0.9145,27.627434
L109_frame009,31.2739,0.9024,28.401028
L109_frame010,31.2431,0.9015,28.194820
L109_frame011,31.1126,0.9017,27.754536
L109_frame012,31.1164,0.9130,26.493126
L109_frame013,31.1531,0.9148,25.655514
L109_frame014,31.6241,0.9042,26.493416
L109_frame015,31.6807,0.9052,27.080940
L109_frame016,31.2922,0.8947,29.038937
L109_frame017,30.2792,0.8732,31.766258
L109_frame018,30.0451,0.8756,32.085045
L109_frame019,29.7075,0.8644,34.434391
L109_frame020,29.5888,0.8581,33.790863
L109_frame021,29.5662,0.8517,35.554401
L109_frame022,28.8775,0.8323,37.389988
L109_frame023,28.6031,0.8146,38.559376
L109_frame024,28.7075,0.8265,37.769630
L109_frame025,29.1110,0.8406,36.230659
L109_frame026,29.5327,0.8506,34.300461
L109_frame027,29.3045,0.8571,35.223728
L109_frame028,29.4037,0.8581,35.795349
L109_frame029,29.6234,0.8653,35.377571
L109_frame030,29.8013,0.8672,35.221756
L109_frame031,29.4037,0.8514,37.284988
L109_frame032,29.1368,0.8443,38.664864
L109_frame033,30.0126,0.8746,36.689117
L109_frame034,30.2859,0.8897,36.357674
L109_frame035,30.5511,0.9037,35.169785
L109_frame036,30.6581,0.9031,34.181007
L109_frame037,30.5705,0.9023,34.561031
L109_frame038,30.4004,0.9051,35.894299
L109_frame039,30.2033,0.9082,36.223995
L109_frame040,30.3981,0.9140,35.572254
L109_frame041,31.1068,0.9222,33.567871
L109_frame042,31.7586,0.9276,30.652462
L109_frame043,31.8491,0.9336,30.380978
L109_frame044,31.4359,0.9341,31.245850
L109_frame045,30.9567,0.9285,34.214169
L109_frame046,30.4264,0.9257,36.623867
L109_frame047,30.3910,0.9240,37.859749
L109_frame048,30.3489,0.9196,37.255764
L109_frame049,30.4463,0.9212,36.903706
L109_frame050,30.6344,0.9219,35.938816
L109_frame051,31.4351,0.9185,32.636932
L109_frame052,31.9413,0.9231,30.118805
L109_frame053,31.3514,0.9197,32.172932
L109_frame054,31.1216,0.9137,33.578941
L109_frame055,30.3549,0.9138,36.924000
L109_frame056,30.0165,0.9103,38.642941
L109_frame057,29.6599,0.9042,39.997292
L109_frame058,29.1772,0.9056,42.102562
L109_frame059,28.9505,0.9022,43.654198
L109_frame060,28.6330,0.8950,44.800339
L109_frame061,28.2690,0.8936,45.862755
L109_frame062,28.1458,0.8923,45.898956
L109_frame063,28.0585,0.8864,45.736546
L109_frame064,28.1774,0.8902,45.816738
L109_frame065,28.1462,0.8917,45.043587
L109_frame066,28.2123,0.8882,45.011791
L109_frame067,28.7338,0.8942,44.554558
L109_frame068,28.6529,0.8969,44.703339
L109_frame069,28.8381,0.8942,43.490715
L109_frame070,28.6419,0.8978,43.917877
L109_frame071,28.9154,0.8962,43.309071
L109_frame072,28.9888,0.8907,42.379753
L109_frame073,29.0830,0.8917,42.822224
L109_frame074,29.1310,0.8910,42.253513
L109_frame075,29.4301,0.8892,40.906353
L109_frame076,29.2674,0.8917,42.086750
L109_frame077,29.2141,0.8918,41.420189
L109_frame078,29.1519,0.8853,41.923428
L109_frame079,29.0777,0.8878,42.574017
L109_frame080,29.1995,0.8856,42.255737
