ImageName, PSNR, SSIM, MSE
12_patch12_21_001,28.6646,0.5331,56.996826
12_patch12_22_000,28.6632,0.5093,58.650879
12_patch12_22_001,28.0511,0.4918,63.040283
12_patch12_22_002,28.1789,0.5080,61.149658
12_patch12_23_000,28.3114,0.4882,59.051514
12_patch12_23_001,28.6826,0.5051,55.255615
12_patch12_23_002,27.7430,0.4725,62.901855
12_patch12_23_003,27.7591,0.4955,61.935791
12_patch12_24_000,28.6377,0.6120,60.171143
12_patch12_24_001,27.9286,0.4815,61.891846
12_patch12_24_002,28.3353,0.4870,59.712158
12_patch12_24_003,29.0026,0.6226,58.437500
12_patch12_24_004,26.3280,0.5002,63.705566
12_patch12_24_005,27.3476,0.4622,66.700928
12_patch12_24_006,27.5973,0.4763,65.570068
12_patch12_24_007,28.7050,0.5968,58.241211
12_patch12_25_000,28.2525,0.5857,62.112549
12_patch12_25_001,28.7208,0.6090,59.484619
12_patch12_25_002,28.6549,0.6032,58.569336
12_patch12_25_003,28.4403,0.5655,60.058594
12_patch12_25_004,28.9759,0.5855,56.379639
12_patch12_25_005,27.9111,0.5077,59.376465
12_patch12_25_006,27.9022,0.4709,62.904541
12_patch12_25_007,28.4461,0.4869,60.058838
12_patch12_25_008,28.2398,0.6015,61.522461
12_patch12_25_009,24.3466,0.4288,71.201172
12_patch12_25_010,27.3654,0.4518,65.648438
12_patch12_25_011,27.6730,0.4653,65.116211
12_patch12_25_012,28.1445,0.5698,61.434326
12_patch12_26_000,28.5904,0.6071,58.769775
12_patch12_26_001,28.0509,0.5849,63.794922
12_patch12_26_002,27.4799,0.5723,65.857178
12_patch12_26_003,28.5409,0.5854,58.739014
12_patch12_26_004,28.2604,0.5943,61.498291
12_patch12_26_005,28.4657,0.6104,61.204590
12_patch12_26_006,28.2263,0.5941,59.575928
12_patch12_26_007,27.7880,0.5507,63.713135
12_patch12_26_008,28.5431,0.5606,57.631348
12_patch12_26_009,28.5591,0.6117,57.733887
12_patch12_26_010,27.4005,0.4962,62.062500
12_patch12_26_011,28.0393,0.4900,62.815918
12_patch12_26_012,28.6346,0.5075,57.171387
12_patch12_26_013,27.5075,0.5739,64.495605
12_patch12_26_014,23.9991,0.3759,75.110596
12_patch12_26_015,27.7352,0.5110,58.162598
12_patch12_26_016,27.9333,0.4877,62.590576
12_patch12_26_017,28.0808,0.5012,61.408447
12_patch12_26_018,27.3154,0.5500,64.715332
12_patch12_27_000,28.3262,0.5781,59.663330
