ImageName, PSNR, SSIM, MSE
phantomFrame000,33.5263,0.8988,11.073669
phantomFrame001,35.5219,0.9349,6.843933
phantomFrame002,35.8832,0.9312,7.153809
phantomFrame003,36.0076,0.9393,6.851685
phantomFrame004,35.4723,0.9433,6.865723
phantomFrame005,35.2907,0.9284,7.840820
phantomFrame006,35.5824,0.9409,6.888428
phantomFrame007,34.3861,0.9266,7.731812
phantomFrame008,34.0943,0.9246,8.127808
phantomFrame009,35.1040,0.9475,7.482361
phantomFrame010,35.3651,0.9425,7.951538
phantomFrame011,34.2634,0.9372,7.816772
phantomFrame012,34.5402,0.9442,8.281128
phantomFrame013,33.8459,0.9361,8.822144
phantomFrame014,34.1101,0.9307,8.660889
phantomFrame015,33.7227,0.9436,9.078064
phantomFrame016,34.1537,0.9342,8.705750
phantomFrame017,33.7963,0.9358,9.301758
phantomFrame018,33.9639,0.9465,9.399902
phantomFrame019,32.9116,0.9262,9.932068
phantomFrame020,34.3081,0.9387,9.176636
phantomFrame021,33.4318,0.9322,10.567932
phantomFrame022,32.9543,0.9139,11.574890
phantomFrame023,33.0737,0.9289,11.760376
phantomFrame024,32.9269,0.8991,13.283630
phantomFrame025,31.0638,0.8818,14.460938
phantomFrame026,29.0849,0.8450,16.464783
phantomFrame027,29.1890,0.8904,15.234985
phantomFrame028,28.5465,0.8551,17.089844
phantomFrame029,28.5823,0.8424,17.798889
phantomFrame030,28.4634,0.8584,18.362366
phantomFrame031,28.1919,0.8492,18.963501
phantomFrame032,28.4063,0.8864,17.899719
phantomFrame033,28.1706,0.8587,18.806824
phantomFrame034,28.1939,0.8631,19.151733
phantomFrame035,27.9625,0.8419,19.936646
phantomFrame036,28.3848,0.9016,17.944824
phantomFrame037,27.8127,0.8480,18.521240
phantomFrame038,28.1432,0.8748,18.590393
phantomFrame039,28.6429,0.8982,16.892700
phantomFrame040,28.7098,0.8801,17.767944
phantomFrame041,28.6581,0.9071,16.879211
phantomFrame042,28.5331,0.8541,18.215027
phantomFrame043,28.6163,0.8684,17.844849
phantomFrame044,29.5512,0.8916,15.494873
phantomFrame045,30.2309,0.9044,15.610596
phantomFrame046,31.8463,0.8888,15.631104
phantomFrame047,32.3873,0.9094,13.871704
phantomFrame048,32.6656,0.9193,13.572998
phantomFrame049,33.4253,0.9458,11.377441
phantomFrame050,32.7991,0.9426,11.788818
phantomFrame051,33.4605,0.9592,11.154480
phantomFrame052,33.9560,0.9533,10.572144
phantomFrame053,33.5592,0.9543,11.543091
phantomFrame054,33.6220,0.9573,11.319458
phantomFrame055,33.5697,0.9540,11.255127
phantomFrame056,33.3112,0.9556,10.961365
phantomFrame057,33.4554,0.9474,11.360779
phantomFrame058,33.9754,0.9611,10.127686
phantomFrame059,34.2306,0.9583,9.438599
phantomFrame060,33.6808,0.9526,10.689087
phantomFrame061,33.2112,0.9535,10.777100
phantomFrame062,34.5226,0.9696,9.561218
phantomFrame063,34.2405,0.9583,9.726624
phantomFrame064,34.0621,0.9623,9.691467
phantomFrame065,34.4814,0.9654,9.342834
phantomFrame066,35.0153,0.9698,8.552673
phantomFrame067,36.0751,0.9692,8.475220
phantomFrame068,36.1148,0.9797,8.032532
phantomFrame069,35.6919,0.9740,8.049866
phantomFrame070,35.9857,0.9799,7.700073
phantomFrame071,35.7739,0.9697,8.300293
phantomFrame072,36.0391,0.9821,7.077759
phantomFrame073,35.7950,0.9685,8.122925
phantomFrame074,35.8277,0.9687,7.963257
phantomFrame075,36.6511,0.9748,7.872131
phantomFrame076,36.3942,0.9756,7.510193
phantomFrame077,35.6580,0.9734,8.015381
phantomFrame078,36.4429,0.9764,7.015625
phantomFrame079,36.4570,0.9719,7.655212
phantomFrame080,36.0885,0.9699,7.472778
phantomFrame081,36.6161,0.9759,7.454529
phantomFrame082,37.2878,0.9722,6.845459
phantomFrame083,37.1389,0.9685,7.018860
phantomFrame084,37.0584,0.9709,6.910400
phantomFrame085,36.3682,0.9745,6.880676
phantomFrame086,36.5771,0.9644,6.644897
phantomFrame087,36.4181,0.9655,6.818726
phantomFrame088,36.0382,0.9546,6.752991
phantomFrame089,34.8019,0.9582,7.100708
phantomFrame090,35.6648,0.9577,7.050293
phantomFrame091,35.8119,0.9534,7.087769
phantomFrame092,36.5486,0.9641,6.489197
phantomFrame093,36.0193,0.9442,6.823669
phantomFrame094,36.0374,0.9552,6.380981
phantomFrame095,35.6684,0.9327,7.504517
phantomFrame096,36.7411,0.9482,6.693176
phantomFrame097,36.9638,0.9485,6.645142
phantomFrame098,35.8335,0.9373,7.518677
phantomFrame099,36.0478,0.9450,6.639282
phantomFrame100,36.3638,0.9369,7.224304
phantomFrame101,35.5343,0.9366,6.963684
