Epoch	TrainLoss	ValidLoss	PSNR	PSNR_std	SSIM	SSIM_std	NRMSE	NRMSE_std
1	0.06258312	0.29193979	22.902	1.880	0.779	0.054	0.073	0.014
2	0.04879452	0.19987290	26.296	1.520	0.812	0.038	0.049	0.008
3	0.04773142	0.17283587	27.254	1.518	0.841	0.034	0.044	0.007
4	0.04720313	0.14234286	28.372	1.623	0.876	0.026	0.039	0.007
5	0.04686396	0.17686722	29.040	1.801	0.897	0.024	0.036	0.007
6	0.04693975	0.11889087	29.738	1.615	0.918	0.015	0.033	0.006
7	0.04645477	0.12328606	30.196	1.724	0.931	0.014	0.032	0.006
8	0.04624825	0.12153984	30.466	1.916	0.943	0.013	0.031	0.007
9	0.04630724	0.11250281	30.835	1.826	0.944	0.013	0.029	0.006
10	0.04645964	0.09693401	30.621	1.604	0.905	0.014	0.030	0.006
11	0.04593008	0.10703475	30.668	1.718	0.926	0.017	0.030	0.006
12	0.04620435	0.08095623	31.800	1.881	0.957	0.010	0.026	0.006
13	0.04585422	0.07487461	31.594	1.899	0.957	0.010	0.027	0.006
14	0.04611880	0.09306740	31.334	1.916	0.946	0.011	0.028	0.007
15	0.04590642	0.06993399	31.903	1.932	0.957	0.010	0.026	0.006
16	0.04593351	0.09576499	31.693	1.979	0.953	0.011	0.027	0.007
17	0.04574781	0.09921033	31.852	2.202	0.959	0.011	0.026	0.007
18	0.04588663	0.09682576	31.636	2.044	0.954	0.011	0.027	0.007
19	0.04586496	0.07963541	32.165	2.021	0.958	0.011	0.025	0.006
20	0.04602664	0.08313698	32.180	2.209	0.957	0.011	0.025	0.007
21	0.04567750	0.08026839	32.293	2.219	0.955	0.010	0.025	0.007
22	0.04549861	0.07624275	32.301	2.086	0.961	0.010	0.025	0.007
23	0.04547504	0.07869521	32.477	2.271	0.972	0.008	0.025	0.007
24	0.04581076	0.08153980	32.551	2.302	0.965	0.008	0.024	0.007
25	0.04560729	0.07110166	32.655	2.299	0.967	0.010	0.024	0.007
26	0.04567161	0.07221620	32.470	2.347	0.967	0.008	0.025	0.007
27	0.04583718	0.08474932	32.572	2.391	0.960	0.010	0.024	0.007
28	0.04565052	0.07319356	32.385	2.268	0.956	0.010	0.025	0.007
29	0.04565400	0.08038035	32.601	2.194	0.948	0.012	0.024	0.007
30	0.04561526	0.08449718	32.851	2.466	0.968	0.009	0.024	0.007
31	0.04538727	0.07154830	32.682	2.431	0.969	0.009	0.024	0.007
32	0.04574620	0.08607399	32.680	2.125	0.965	0.010	0.024	0.007
33	0.04553315	0.07979445	32.631	2.158	0.958	0.009	0.024	0.007
34	0.04539632	0.06905547	32.688	2.178	0.961	0.010	0.024	0.007
35	0.04537245	0.06361620	33.191	2.397	0.971	0.008	0.023	0.007
36	0.04541926	0.08972335	32.388	2.309	0.952	0.013	0.025	0.007
37	0.04564903	0.06100706	33.419	2.516	0.975	0.009	0.022	0.007
38	0.04564512	0.06949645	32.978	2.461	0.968	0.009	0.023	0.007
39	0.04569956	0.07284710	32.934	2.538	0.969	0.008	0.024	0.008
40	0.04566193	0.06244663	32.756	2.468	0.971	0.008	0.024	0.008
41	0.04580532	0.07032797	33.176	2.454	0.967	0.009	0.023	0.007
42	0.04540683	0.07859411	33.226	2.566	0.975	0.009	0.023	0.008
43	0.04578196	0.08110073	32.491	2.432	0.963	0.009	0.025	0.007
44	0.04550430	0.07015803	33.074	2.535	0.971	0.009	0.023	0.008
45	0.04553174	0.07805065	33.067	2.584	0.971	0.009	0.023	0.008
46	0.04548001	0.06859552	33.430	2.587	0.972	0.008	0.022	0.008
47	0.04538760	0.06884393	33.110	2.321	0.963	0.009	0.023	0.007
48	0.04538419	0.07787326	33.172	2.568	0.970	0.009	0.023	0.008
49	0.04546494	0.06181801	33.493	2.583	0.971	0.009	0.022	0.007
50	0.04535239	0.07376411	33.156	2.526	0.971	0.010	0.023	0.007
51	0.04556645	0.07050417	33.237	2.464	0.967	0.009	0.023	0.007
52	0.04550809	0.06279686	33.632	2.628	0.977	0.009	0.022	0.007
53	0.04530473	0.08172167	33.308	2.549	0.968	0.009	0.023	0.007
54	0.04535464	0.06197407	33.272	2.631	0.975	0.008	0.023	0.008
55	0.04544284	0.06028987	33.573	2.672	0.976	0.008	0.022	0.008
56	0.04528058	0.06249496	33.221	2.395	0.964	0.009	0.023	0.007
57	0.04528247	0.05642883	33.991	2.692	0.978	0.008	0.021	0.008
58	0.04533617	0.05959393	33.383	2.475	0.975	0.007	0.022	0.007
