ImageName, PSNR, SSIM, MSE
phantomFrame000,34.6542,0.9690,7.876160
phantomFrame001,35.5366,0.9642,7.657104
phantomFrame002,35.2407,0.9710,8.719849
phantomFrame003,33.2720,0.9548,11.126587
phantomFrame004,33.0110,0.9506,12.757324
phantomFrame005,33.0137,0.9582,12.346130
phantomFrame006,32.3431,0.9540,13.286316
phantomFrame007,31.9667,0.9500,14.062317
phantomFrame008,31.7306,0.9411,14.747498
phantomFrame009,31.8089,0.9434,15.623352
phantomFrame010,32.0015,0.9411,16.029480
phantomFrame011,31.0380,0.9207,18.028870
phantomFrame012,30.1194,0.9046,20.432922
phantomFrame013,28.0073,0.8863,22.463318
phantomFrame014,27.5980,0.9027,21.927490
phantomFrame015,27.1113,0.9003,22.773010
phantomFrame016,26.7939,0.8838,24.970093
phantomFrame017,26.5804,0.8761,24.949158
phantomFrame018,26.8152,0.8993,23.164307
phantomFrame019,27.1119,0.8845,23.988892
phantomFrame020,27.0624,0.8860,24.094910
phantomFrame021,27.7047,0.8941,22.949158
phantomFrame022,28.6997,0.8846,24.457275
phantomFrame023,31.1013,0.9187,21.694885
phantomFrame024,30.9261,0.9294,19.194153
phantomFrame025,31.4588,0.9300,17.956909
phantomFrame026,31.8796,0.9366,18.384705
phantomFrame027,31.7195,0.9377,17.077454
phantomFrame028,31.5272,0.9257,18.308899
phantomFrame029,31.4972,0.9245,18.517517
phantomFrame030,31.3501,0.9143,18.604370
phantomFrame031,31.8289,0.9348,17.427124
phantomFrame032,31.9580,0.9427,15.942383
phantomFrame033,31.9186,0.9356,15.788147
phantomFrame034,31.9020,0.9291,15.776489
phantomFrame035,31.5675,0.9416,14.652588
phantomFrame036,32.2555,0.9527,13.761597
phantomFrame037,31.7677,0.9379,15.344543
phantomFrame038,32.6730,0.9486,13.747314
phantomFrame039,32.6047,0.9434,14.304932
phantomFrame040,32.2926,0.9508,13.026917
phantomFrame041,32.6709,0.9585,12.248657
phantomFrame042,32.5959,0.9538,12.330444
phantomFrame043,31.6727,0.9288,15.348694
phantomFrame044,32.0800,0.9552,12.309998
phantomFrame045,32.7360,0.9598,11.241333
phantomFrame046,33.1188,0.9608,10.960510
phantomFrame047,33.1985,0.9550,11.274170
phantomFrame048,34.7227,0.9656,8.777649
phantomFrame049,35.0886,0.9653,8.647461
