ImageName, PSNR, SSIM, MSE
L506_frame147,37.0635,0.9179,9.727146
L506_frame148,37.0171,0.9215,9.413410
L506_frame149,37.1204,0.9230,8.995537
L506_frame150,36.8873,0.9215,9.015530
L506_frame151,37.4306,0.9264,8.219189
L506_frame152,37.6472,0.9265,8.168060
L506_frame153,37.5640,0.9239,8.504486
L506_frame154,37.5975,0.9249,8.298645
L506_frame155,37.4401,0.9242,8.407452
L506_frame156,37.2058,0.9188,9.174438
L506_frame157,37.4115,0.9224,8.732971
L506_frame158,37.4621,0.9222,8.777901
L506_frame159,37.3671,0.9176,9.431339
L506_frame160,37.5206,0.9218,8.813339
L506_frame161,37.7082,0.9239,8.518143
L506_frame162,37.6867,0.9238,8.481117
L506_frame163,37.8074,0.9246,8.355042
L506_frame164,37.6164,0.9250,8.381592
L506_frame165,37.5049,0.9243,8.363781
L506_frame166,37.5488,0.9275,7.842262
L506_frame167,37.7892,0.9291,7.774490
L506_frame168,37.4827,0.9252,8.098583
L506_frame169,37.7274,0.9294,7.677387
L506_frame170,37.7092,0.9316,7.203163
L506_frame171,37.2995,0.9299,7.402493
L506_frame172,37.0409,0.9326,6.935509
L506_frame173,36.9620,0.9318,7.069687
L506_frame174,37.0843,0.9280,7.478546
L506_frame175,37.1769,0.9320,6.950474
L506_frame176,37.2498,0.9303,7.328037
L506_frame177,37.6128,0.9282,7.735481
L506_frame178,38.0050,0.9329,6.968746
L506_frame179,37.5059,0.9307,7.684326
L506_frame180,37.3887,0.9285,7.854767
L506_frame181,37.5658,0.9301,7.584820
L506_frame182,37.7638,0.9292,7.616287
L506_frame183,37.6332,0.9244,8.092995
L506_frame184,37.8139,0.9272,7.657253
L506_frame185,37.7147,0.9277,7.518288
L506_frame186,37.5625,0.9258,7.710506
L506_frame187,37.5819,0.9303,7.091415
L506_frame188,37.6605,0.9299,7.317585
L506_frame189,37.7278,0.9262,7.868881
L506_frame190,38.0858,0.9283,7.735088
L506_frame191,38.3058,0.9286,7.637241
L506_frame192,38.1996,0.9278,7.704239
L506_frame193,37.8512,0.9304,7.445293
L506_frame194,37.8004,0.9312,7.568859
L506_frame195,37.9628,0.9273,7.987103
L506_frame196,38.2280,0.9297,7.759060
L506_frame197,38.2923,0.9322,7.425014
L506_frame198,38.2814,0.9320,7.379826
L506_frame199,38.3246,0.9354,6.902538
L506_frame200,38.1403,0.9356,6.822018
L506_frame201,37.7750,0.9346,6.998291
L506_frame202,38.1385,0.9360,6.923748
L506_frame203,38.1822,0.9373,6.843266
L506_frame204,38.3057,0.9357,7.030087
L506_frame205,38.7785,0.9397,6.576462
L506_frame206,38.8012,0.9417,6.505215
L506_frame207,38.8699,0.9399,6.601192
L506_frame208,39.0322,0.9441,6.153965
L506_frame209,38.9623,0.9439,6.162735
L506_frame210,38.9145,0.9414,6.481716
L506_frame211,39.1827,0.9435,6.306965
L506_frame212,39.2030,0.9426,6.349400
L506_frame213,39.2272,0.9418,6.374371
L506_frame214,39.4566,0.9444,6.063614
L506_frame215,39.2926,0.9440,6.109856
L506_frame216,39.3184,0.9450,5.907261
L506_frame217,39.2688,0.9458,5.787651
L506_frame218,39.3965,0.9455,5.817612
L506_frame219,39.3613,0.9438,6.202568
L506_frame220,39.4919,0.9453,6.119164
L506_frame221,39.3475,0.9440,6.325188
L506_frame222,39.0116,0.9417,6.709244
L506_frame223,38.8713,0.9434,6.452927
L506_frame224,38.8285,0.9429,6.580307
L506_frame225,38.7179,0.9408,6.796165
L506_frame226,38.8781,0.9435,6.396679
L506_frame227,39.1096,0.9438,6.224354
L506_frame228,39.1608,0.9426,6.262547
L506_frame229,39.3139,0.9435,6.113491
L506_frame230,39.1664,0.9441,6.119621
L506_frame231,39.1625,0.9446,6.058357
L506_frame232,39.2720,0.9449,6.041725
L506_frame233,39.2489,0.9448,6.034943
L506_frame234,38.9665,0.9423,6.422424
L506_frame235,38.9395,0.9426,6.415173
L506_frame236,38.8088,0.9416,6.825069
L506_frame237,38.8035,0.9402,7.047565
L506_frame238,38.9763,0.9409,6.987831
L506_frame239,39.0115,0.9422,6.792355
L506_frame240,38.9176,0.9435,6.564598
L506_frame241,39.0508,0.9443,6.524578
L506_frame242,38.9565,0.9428,6.862225
L506_frame243,38.7256,0.9417,7.100880
L506_frame244,38.6354,0.9429,7.073071
L506_frame245,38.9346,0.9443,6.787823
L506_frame246,38.7653,0.9418,6.991375
L506_frame247,38.8236,0.9429,6.844803
L506_frame248,38.8150,0.9419,7.006256
L506_frame249,38.8065,0.9396,7.179173
L506_frame250,38.8055,0.9406,7.011253
L506_frame251,38.7318,0.9404,7.126595
L506_frame252,38.7645,0.9393,7.191055
L506_frame253,38.8981,0.9408,7.069935
L506_frame254,38.7762,0.9405,7.046711
L506_frame255,38.5480,0.9394,7.175900
L506_frame256,38.8435,0.9417,6.716038
L506_frame257,38.7981,0.9402,6.858852
L506_frame258,38.5992,0.9389,7.213013
L506_frame259,38.4893,0.9404,7.257504
L506_frame260,38.6668,0.9419,7.067421
L506_frame261,38.7615,0.9400,7.317142
L506_frame262,38.6158,0.9407,7.321247
L506_frame263,38.3429,0.9389,7.470547
L506_frame264,38.1959,0.9371,7.517311
L506_frame265,38.5262,0.9390,7.147461
L506_frame266,38.4787,0.9395,7.074871
L506_frame267,38.5498,0.9382,7.116428
L506_frame268,38.7355,0.9401,6.787155
L506_frame269,38.8029,0.9402,6.659016
L506_frame270,38.7629,0.9380,7.113228
L506_frame271,38.8709,0.9390,6.944969
L506_frame272,38.5403,0.9391,7.056271
L506_frame273,38.5355,0.9382,7.173820
L506_frame274,38.7687,0.9401,6.947411
L506_frame275,38.4598,0.9396,7.204983
L506_frame276,38.6673,0.9390,7.354473
L506_frame277,38.9229,0.9408,6.988106
L506_frame278,38.7948,0.9399,7.181881
L506_frame279,38.6236,0.9383,7.539680
L506_frame280,38.8932,0.9411,7.221088
L506_frame281,38.6908,0.9397,7.469036
L506_frame282,38.6190,0.9374,7.915249
L506_frame283,38.7262,0.9411,7.500046
L506_frame284,38.6076,0.9407,7.583305
L506_frame285,38.5129,0.9387,7.748669
L506_frame286,38.5615,0.9392,7.530460
L506_frame287,38.6327,0.9397,7.402767
L506_frame288,38.4382,0.9374,7.630238
L506_frame289,38.4569,0.9383,7.590130
L506_frame290,38.7246,0.9400,7.279774
L506_frame291,38.8371,0.9385,7.231434
L506_frame292,38.9211,0.9398,6.985668
L506_frame293,39.0358,0.9409,6.875813
L506_frame294,38.9263,0.9389,7.060646
L506_frame295,39.1621,0.9419,6.670506
L506_frame296,39.0720,0.9419,6.672749
L506_frame297,38.9514,0.9403,6.849636
L506_frame298,39.0123,0.9404,6.894447
L506_frame299,39.1779,0.9409,6.854729
L506_frame300,39.1669,0.9403,7.010399
L506_frame301,39.2892,0.9424,6.758423
L506_frame302,39.0692,0.9412,6.941528
L506_frame303,39.0007,0.9401,6.991493
L506_frame304,39.1751,0.9406,6.840256
L506_frame305,39.2284,0.9408,6.739388
L506_frame306,39.2672,0.9395,6.946629
L506_frame307,39.1887,0.9401,7.040283
L506_frame308,39.2615,0.9400,7.031956
L506_frame309,39.0066,0.9367,7.376907
L506_frame310,39.2486,0.9391,6.966160
L506_frame311,39.1719,0.9371,7.104832
L506_frame312,38.9638,0.9371,7.345551
L506_frame313,39.1293,0.9385,7.092537
L506_frame314,39.2150,0.9391,7.056404
L506_frame315,38.9746,0.9364,7.416870
L506_frame316,39.1420,0.9382,7.106495
L506_frame317,39.3228,0.9398,6.785400
L506_frame318,39.0391,0.9397,6.967220
L506_frame319,39.1371,0.9407,6.863373
L506_frame320,39.1759,0.9419,6.722584
L506_frame321,39.1263,0.9420,6.779644
L506_frame322,39.0387,0.9430,6.664299
L506_frame323,39.1211,0.9425,6.495167
L506_frame324,39.2448,0.9419,6.530453
L506_frame325,39.3197,0.9419,6.417629
L506_frame326,39.3638,0.9422,6.260811
L506_frame327,39.3953,0.9412,6.327477
L506_frame328,39.4408,0.9421,6.243725
L506_frame329,39.3559,0.9423,6.234482
L506_frame330,39.2620,0.9414,6.257607
L506_frame331,39.3252,0.9423,6.072124
L506_frame332,39.3665,0.9429,5.969917
L506_frame333,39.2958,0.9421,6.065147
L506_frame334,39.3429,0.9439,5.817600
L506_frame335,39.4653,0.9453,5.772442
L506_frame336,39.2260,0.9426,6.093285
L506_frame337,39.3250,0.9447,5.895660
L506_frame338,39.3113,0.9454,5.774273
L506_frame339,39.2207,0.9449,5.889942
L506_frame340,39.2975,0.9448,5.825832
L506_frame341,39.3255,0.9447,5.801102
L506_frame342,39.2832,0.9441,5.974987
L506_frame343,39.4210,0.9453,5.757050
L506_frame344,39.3558,0.9446,5.829323
L506_frame345,39.1112,0.9425,6.124817
L506_frame346,39.2347,0.9428,6.140270
L506_frame347,39.2321,0.9422,6.084389
L506_frame348,39.1608,0.9416,6.273403
L506_frame349,39.0750,0.9434,6.225716
L506_frame350,39.0672,0.9437,6.278210
L506_frame351,38.9311,0.9415,6.626736
L506_frame352,38.8335,0.9418,6.621414
L506_frame353,39.1211,0.9410,6.762863
L506_frame354,38.7916,0.9392,7.002686
L506_frame355,38.7091,0.9410,7.011086
L506_frame356,38.6938,0.9420,6.821232
L506_frame357,38.5966,0.9413,7.017242
L506_frame358,38.7404,0.9453,6.571198
L506_frame359,38.9406,0.9455,6.506950
L506_frame360,38.1696,0.9420,6.998928
L506_frame361,38.2888,0.9437,6.963017
L506_frame362,38.3867,0.9426,7.079113
L506_frame363,38.3445,0.9404,7.154724
L506_frame364,38.6860,0.9427,7.024490
L506_frame365,38.7250,0.9416,7.149929
L506_frame366,38.6047,0.9400,7.333370
L506_frame367,38.3114,0.9410,7.260601
L506_frame368,38.6559,0.9427,7.078026
L506_frame369,38.6301,0.9412,7.245087
L506_frame370,38.7799,0.9436,7.005207
L506_frame371,38.9157,0.9447,6.680569
L506_frame372,38.7498,0.9425,7.021175
L506_frame373,38.8708,0.9450,6.777149
L506_frame374,38.9019,0.9451,6.710075
L506_frame375,38.7146,0.9435,7.163155
L506_frame376,38.7771,0.9453,6.954178
L506_frame377,38.8165,0.9451,6.856869
L506_frame378,38.6914,0.9435,7.054737
L506_frame379,38.6996,0.9448,6.860321
L506_frame380,38.5516,0.9447,6.955513
L506_frame381,38.4060,0.9430,7.094032
L506_frame382,38.4252,0.9440,6.882607
L506_frame383,38.6749,0.9436,6.843929
L506_frame384,38.5215,0.9401,7.329117
L506_frame385,38.6711,0.9416,7.084011
L506_frame386,38.5753,0.9397,7.326992
L506_frame387,38.6340,0.9381,7.470444
L506_frame388,38.7214,0.9401,7.180630
L506_frame389,38.6344,0.9387,7.342613
L506_frame390,38.4425,0.9360,7.785065
L506_frame391,38.7137,0.9391,7.338646
L506_frame392,38.5895,0.9373,7.640339
L506_frame393,38.4807,0.9363,7.778744
L506_frame394,38.5317,0.9374,7.573372
L506_frame395,38.5486,0.9382,7.518322
L506_frame396,38.7822,0.9372,7.721420
L506_frame397,38.9014,0.9402,7.395691
L506_frame398,38.7514,0.9396,7.555119
L506_frame399,38.6418,0.9366,7.908489
L506_frame400,38.6604,0.9366,7.828506
L506_frame401,38.6336,0.9371,7.866718
L506_frame402,38.5042,0.9350,8.014046
L506_frame403,38.7011,0.9373,7.654198
L506_frame404,38.5598,0.9360,7.697056
L506_frame405,38.4676,0.9334,7.995911
L506_frame406,38.5924,0.9348,7.836304
L506_frame407,38.6594,0.9364,7.601990
L506_frame408,38.6737,0.9348,7.644218
L506_frame409,38.7593,0.9370,7.455349
L506_frame410,38.6764,0.9380,7.369297
L506_frame411,38.7844,0.9358,7.487480
L506_frame412,38.9225,0.9383,7.208599
L506_frame413,39.0142,0.9387,7.130085
L506_frame414,38.9820,0.9376,7.189869
L506_frame415,39.0983,0.9395,6.915047
L506_frame416,39.2264,0.9412,6.695187
L506_frame417,39.0459,0.9397,6.834560
L506_frame418,39.1245,0.9406,6.683357
L506_frame419,39.1685,0.9412,6.569954
L506_frame420,39.1771,0.9400,6.532906
L506_frame421,39.2458,0.9410,6.310833
L506_frame422,39.3275,0.9415,6.145340
L506_frame423,39.2519,0.9396,6.314739
L506_frame424,39.3462,0.9413,6.111637
L506_frame425,39.3662,0.9426,5.910839
L506_frame426,39.2003,0.9416,6.074932
L506_frame427,39.4316,0.9443,5.796459
L506_frame428,39.1663,0.9414,6.097370
L506_frame429,39.1855,0.9412,6.137821
L506_frame430,39.2528,0.9429,5.802383
L506_frame431,39.3071,0.9431,5.795300
L506_frame432,39.2758,0.9420,5.925674
L506_frame433,39.2228,0.9428,5.907681
L506_frame434,39.1897,0.9455,5.757259
L506_frame435,39.1363,0.9450,5.763233
L506_frame436,39.0654,0.9477,5.563808
L506_frame437,39.0437,0.9492,5.338619
L506_frame438,39.0692,0.9476,5.402481
L506_frame439,38.9846,0.9481,5.372379
L506_frame440,38.9364,0.9480,5.273773
L506_frame441,38.8548,0.9458,5.453693
L506_frame442,38.8390,0.9479,5.163231
L506_frame443,38.7914,0.9480,5.148441
L506_frame444,38.6174,0.9470,5.226131
L506_frame445,38.6912,0.9482,5.097134
L506_frame446,38.7911,0.9478,5.084743
L506_frame447,38.7264,0.9457,5.380630
L506_frame448,38.6557,0.9471,5.207317
L506_frame449,38.9110,0.9475,5.157444
L506_frame450,38.9913,0.9451,5.467316
L506_frame451,39.1309,0.9481,5.102215
L506_frame452,39.2032,0.9471,5.075565
L506_frame453,39.3464,0.9467,5.146484
L506_frame454,39.3679,0.9477,5.051559
L506_frame455,39.3761,0.9472,5.061672
L506_frame456,39.2433,0.9476,5.112267
L506_frame457,39.3302,0.9481,4.954037
L506_frame458,39.4070,0.9481,4.953835
L506_frame459,39.3156,0.9477,5.026405
L506_frame460,39.0968,0.9474,5.067272
L506_frame461,39.0712,0.9469,5.064751
L506_frame462,38.9785,0.9454,5.204330
L506_frame463,38.9181,0.9455,5.199497
L506_frame464,38.9599,0.9455,5.164406
L506_frame465,38.9328,0.9458,5.208359
L506_frame466,39.0227,0.9461,5.098507
L506_frame467,38.8180,0.9462,5.065811
L506_frame468,38.8914,0.9453,5.034973
L506_frame469,38.9767,0.9459,4.842480
L506_frame470,39.0412,0.9450,4.898022
L506_frame471,38.8232,0.9439,5.146328
L506_frame472,38.9918,0.9452,4.922295
L506_frame473,38.9077,0.9481,4.961571
L506_frame474,39.0175,0.9476,5.103401
L506_frame475,39.2428,0.9497,4.905193
L506_frame476,39.2137,0.9499,4.828335
L506_frame477,39.2656,0.9472,4.923237
L506_frame478,39.3794,0.9475,4.799274
L506_frame479,39.5823,0.9472,4.728237
L506_frame480,39.5246,0.9452,4.858303
L506_frame481,39.7870,0.9459,4.727821
L506_frame482,40.1099,0.9453,4.760899
L506_frame483,40.1880,0.9432,4.877354
L506_frame484,40.2987,0.9449,4.734314
L506_frame485,40.5705,0.9447,4.667862
L506_frame486,40.6240,0.9448,4.658596
L506_frame487,40.6968,0.9430,4.888206
L506_frame488,40.8742,0.9434,4.805241
L506_frame489,40.9594,0.9429,4.739941
L506_frame490,41.2163,0.9440,4.530403
L506_frame491,41.2352,0.9435,4.613483
L506_frame492,41.2557,0.9436,4.656857
L506_frame493,41.3586,0.9447,4.479431
L506_frame494,41.5544,0.9453,4.478764
L506_frame495,41.4084,0.9439,4.642941
L506_frame496,41.5721,0.9444,4.502281
L506_frame497,41.5074,0.9445,4.565281
L506_frame498,41.4263,0.9440,4.651913
L506_frame499,41.3865,0.9431,4.685223
L506_frame500,41.5993,0.9446,4.477833
L506_frame501,41.4653,0.9433,4.612072
L506_frame502,41.4214,0.9431,4.632793
L506_frame503,41.5115,0.9439,4.560955
L506_frame504,41.4246,0.9432,4.663521
L506_frame505,41.5369,0.9442,4.535210
L506_frame506,41.5058,0.9429,4.566006
L506_frame507,41.4298,0.9421,4.651039
L506_frame508,41.5285,0.9429,4.558640
L506_frame509,41.5715,0.9436,4.513626
L506_frame510,41.4585,0.9441,4.621220
L506_frame511,41.5931,0.9479,4.475506
L506_frame512,41.6834,0.9496,4.380806
L506_frame513,41.5871,0.9498,4.496368
L506_frame514,41.7873,0.9522,4.298046
L506_frame515,41.8782,0.9527,4.199924
L506_frame516,41.6923,0.9523,4.362064
L506_frame517,41.8255,0.9541,4.258324
L506_frame518,41.8715,0.9536,4.216209
L506_frame519,41.5591,0.9503,4.530487
L506_frame520,41.3687,0.9488,4.718296
L506_frame521,41.4062,0.9482,4.692184
L506_frame522,41.2585,0.9463,4.848106
L506_frame523,41.4362,0.9473,4.658848
L506_frame524,41.3981,0.9454,4.698029
L506_frame525,41.0807,0.9416,5.046585
