Epoch	TrainLoss	ValidLoss	PSNR	PSNR_std	SSIM	SSIM_std	NRMSE	NRMSE_std
83	0.19634566	0.15562999	27.578	1.382	0.845	0.024	0.042	0.007
84	0.19676429	0.15539839	27.561	1.379	0.844	0.024	0.042	0.007
85	0.19616908	0.15441806	27.587	1.367	0.845	0.023	0.042	0.007
86	0.19742123	0.15623255	27.581	1.386	0.844	0.024	0.042	0.007
87	0.19731185	0.15557834	27.561	1.381	0.844	0.023	0.042	0.007
88	0.19910756	0.15569377	27.580	1.383	0.845	0.023	0.042	0.007
89	0.19434545	0.15582321	27.570	1.377	0.844	0.023	0.042	0.007
90	0.19518170	0.15584436	27.558	1.396	0.844	0.024	0.042	0.007
91	0.19521373	0.15538162	27.576	1.381	0.844	0.023	0.042	0.007
92	0.19560750	0.15625752	27.579	1.381	0.844	0.023	0.042	0.007
93	0.19632752	0.15494896	27.571	1.383	0.844	0.024	0.042	0.007
94	0.19723258	0.15488355	27.580	1.378	0.845	0.023	0.042	0.007
95	0.19519435	0.15644965	27.574	1.381	0.844	0.024	0.042	0.007
96	0.19575335	0.15484838	27.568	1.382	0.844	0.023	0.042	0.007
97	0.19564533	0.15660643	27.560	1.388	0.844	0.024	0.042	0.007
98	0.19655816	0.15519122	27.559	1.374	0.844	0.024	0.042	0.007
99	0.19703471	0.15619660	27.573	1.382	0.844	0.023	0.042	0.007
100	0.19430906	0.15514458	27.580	1.385	0.845	0.024	0.042	0.007
101	0.19719293	0.15574138	27.576	1.381	0.844	0.024	0.042	0.007
102	0.19787982	0.15591301	27.583	1.380	0.845	0.023	0.042	0.007
103	0.19688631	0.15559896	27.570	1.382	0.844	0.023	0.042	0.007
104	0.19578506	0.15502964	27.580	1.385	0.845	0.023	0.042	0.007
105	0.19540577	0.15592044	27.573	1.386	0.844	0.024	0.042	0.007
106	0.19581671	0.15632780	27.564	1.387	0.844	0.023	0.042	0.007
107	0.19545252	0.15563825	27.593	1.382	0.845	0.023	0.042	0.007
108	0.19570570	0.15465750	27.573	1.384	0.844	0.024	0.042	0.007
109	0.19491385	0.15518844	27.578	1.386	0.845	0.024	0.042	0.007
110	0.19771942	0.15527522	27.569	1.384	0.844	0.024	0.042	0.007
111	0.19559086	0.15546661	27.569	1.384	0.844	0.023	0.042	0.007
112	0.19668358	0.15548666	27.580	1.378	0.844	0.023	0.042	0.007
113	0.19576864	0.15554671	27.582	1.376	0.844	0.023	0.042	0.007
114	0.19564191	0.15556402	27.578	1.389	0.844	0.024	0.042	0.007
115	0.19628014	0.15617330	27.573	1.388	0.844	0.023	0.042	0.007
116	0.19525612	0.15478446	27.580	1.384	0.845	0.023	0.042	0.007
117	0.19506398	0.15486240	27.579	1.379	0.845	0.023	0.042	0.007
118	0.19579068	0.15585086	27.574	1.386	0.844	0.024	0.042	0.007
119	0.19598953	0.15584559	27.576	1.388	0.844	0.023	0.042	0.007
120	0.19746969	0.15496147	27.572	1.387	0.844	0.023	0.042	0.007
121	0.19566690	0.15557904	27.572	1.388	0.844	0.024	0.042	0.007
122	0.19462174	0.15526260	27.583	1.385	0.845	0.023	0.042	0.007
123	0.19795995	0.15567878	27.580	1.381	0.844	0.023	0.042	0.007
124	0.19591810	0.15545487	27.590	1.381	0.845	0.023	0.042	0.007
125	0.19698346	0.15533353	27.580	1.377	0.845	0.023	0.042	0.007
126	0.19554353	0.15552460	27.571	1.386	0.844	0.024	0.042	0.007
127	0.19433087	0.15506665	27.575	1.379	0.844	0.024	0.042	0.007
128	0.19491618	0.15555698	27.565	1.388	0.844	0.024	0.042	0.007
129	0.19438643	0.15500057	27.582	1.378	0.844	0.023	0.042	0.007
130	0.19468311	0.15526594	27.573	1.390	0.844	0.024	0.042	0.007
131	0.19512944	0.15511296	27.577	1.386	0.844	0.024	0.042	0.007
132	0.19495502	0.15471092	27.583	1.387	0.845	0.023	0.042	0.007
133	0.19460518	0.15530827	27.581	1.379	0.844	0.023	0.042	0.007
134	0.19662129	0.15558289	27.576	1.380	0.844	0.023	0.042	0.007
135	0.19619791	0.15518879	27.571	1.383	0.844	0.024	0.042	0.007
136	0.19494271	0.15549830	27.566	1.385	0.844	0.024	0.042	0.007
137	0.19583118	0.15556467	27.568	1.385	0.844	0.023	0.042	0.007
138	0.19598957	0.15629738	27.559	1.391	0.844	0.024	0.042	0.007
139	0.19531073	0.15511503	27.580	1.386	0.844	0.023	0.042	0.007
140	0.19535413	0.15503497	27.576	1.381	0.845	0.023	0.042	0.007
141	0.19547433	0.15583172	27.565	1.380	0.844	0.023	0.042	0.007
142	0.19624307	0.15577099	27.574	1.381	0.844	0.024	0.042	0.007
143	0.19578953	0.15523290	27.575	1.386	0.844	0.023	0.042	0.007
144	0.19531134	0.15561630	27.573	1.378	0.844	0.023	0.042	0.007
145	0.19323035	0.15545916	27.577	1.383	0.844	0.024	0.042	0.007
146	0.19687415	0.15534277	27.587	1.388	0.845	0.023	0.042	0.007
147	0.19670348	0.15573852	27.573	1.383	0.844	0.023	0.042	0.007
148	0.19659486	0.15587198	27.571	1.394	0.844	0.024	0.042	0.007
149	0.19631526	0.15510058	27.577	1.377	0.844	0.023	0.042	0.007
150	0.19486003	0.15485322	27.576	1.386	0.844	0.024	0.042	0.007
