Epoch	TrainLoss	ValidLoss	PSNR	PSNR_std	SSIM	SSIM_std	NRMSE	NRMSE_std
1	0.67489970	0.36670021	19.421	1.418	0.573	0.037	0.108	0.016
2	0.58628823	0.27006722	24.075	1.772	0.708	0.036	0.064	0.012
3	0.56300152	0.21496327	24.550	1.456	0.636	0.028	0.060	0.009
4	0.55917206	0.19189086	26.112	1.491	0.714	0.035	0.050	0.008
5	0.55414037	0.16780311	27.490	1.928	0.865	0.020	0.043	0.009
6	0.55217349	0.16919425	24.824	1.543	0.721	0.035	0.058	0.010
7	0.55369854	0.16217055	26.660	1.527	0.782	0.036	0.047	0.008
8	0.55010004	0.12941233	28.148	1.840	0.867	0.020	0.040	0.008
9	0.54602938	0.11878684	28.626	2.059	0.923	0.013	0.038	0.009
10	0.54804363	0.12494369	27.972	1.865	0.890	0.018	0.041	0.009
11	0.55012333	0.12985167	27.250	1.537	0.780	0.019	0.044	0.008
12	0.54939357	0.12910039	27.865	1.863	0.862	0.015	0.041	0.009
13	0.54634824	0.13633902	28.977	2.147	0.922	0.012	0.037	0.009
14	0.54512705	0.12209203	27.232	1.618	0.847	0.019	0.044	0.009
15	0.54301206	0.12143929	29.285	2.087	0.927	0.014	0.035	0.009
16	0.54551070	0.13141244	28.868	1.912	0.932	0.014	0.037	0.009
17	0.54459128	0.11632883	27.764	1.911	0.896	0.027	0.042	0.010
18	0.54129418	0.12071575	26.569	1.659	0.852	0.073	0.048	0.009
19	0.53726401	0.12334742	27.957	1.986	0.909	0.042	0.041	0.010
20	0.54021218	0.12427391	26.241	2.039	0.845	0.074	0.050	0.011
21	0.53971281	0.11398686	28.007	2.215	0.904	0.052	0.041	0.011
22	0.53746318	0.13376513	26.759	2.063	0.873	0.071	0.047	0.011
23	0.53438811	0.11619573	26.283	2.304	0.871	0.068	0.050	0.013
24	0.53732793	0.14598626	25.977	2.531	0.846	0.091	0.052	0.015
25	0.53645153	0.12972130	25.726	2.575	0.841	0.091	0.054	0.016
