ImageName, PSNR, SSIM, MSE
10_patch10_38_036,32.1163,0.8153,26.256592
10_patch10_38_037,31.6065,0.7782,28.794434
10_patch10_39_000,29.6876,0.6871,41.686768
10_patch10_39_001,28.6095,0.7349,41.938477
10_patch10_39_002,28.8567,0.6640,44.045654
10_patch10_39_003,27.5395,0.7320,43.397705
10_patch10_39_004,29.4480,0.8138,28.400146
10_patch10_39_005,29.3048,0.6984,41.062500
10_patch10_39_006,27.3640,0.7520,46.123535
10_patch10_39_007,29.2308,0.8139,32.812500
10_patch10_39_008,29.8034,0.6892,41.598145
10_patch10_39_009,27.6238,0.7516,47.383057
10_patch10_39_010,29.0503,0.8247,33.855713
10_patch10_39_011,29.2393,0.6855,44.910156
10_patch10_39_012,27.0242,0.7399,48.519775
10_patch10_39_013,28.6120,0.8267,33.136963
10_patch10_39_014,29.4538,0.6925,43.989258
10_patch10_39_015,28.3093,0.7528,47.035645
10_patch10_39_016,28.6965,0.6846,47.786133
10_patch10_39_017,27.7758,0.7403,47.455322
10_patch10_39_018,27.3115,0.7442,47.323242
10_patch10_39_019,28.0597,0.7718,41.776123
10_patch10_39_020,28.4948,0.6640,48.960938
10_patch10_39_021,27.3155,0.7751,45.900391
10_patch10_39_022,28.2679,0.6930,46.704834
10_patch10_39_023,28.1469,0.7550,41.504639
10_patch10_39_024,28.0638,0.6877,48.804199
10_patch10_39_025,29.5441,0.7615,35.659668
10_patch10_39_026,27.6776,0.7064,48.561768
10_patch10_39_027,29.3492,0.7788,35.349365
10_patch10_39_028,28.9166,0.6556,47.198975
10_patch10_39_029,27.3968,0.7232,48.349609
10_patch10_39_030,29.3122,0.7981,30.746582
10_patch10_39_031,28.5079,0.7268,45.434326
10_patch10_39_032,29.9841,0.8054,29.513428
10_patch10_39_033,29.0149,0.7149,42.644531
10_patch10_39_034,30.7346,0.8056,28.156250
10_patch10_39_035,30.3047,0.7152,37.619385
10_patch10_39_036,32.0250,0.7716,28.479736
10_patch10_39_037,31.5074,0.7711,29.831055
10_patch10_39_038,29.7174,0.7043,41.271240
10_patch10_39_039,30.1533,0.7653,32.706787
10_patch10_39_040,29.1010,0.7008,42.667236
10_patch10_39_041,29.3342,0.7495,34.424072
10_patch10_39_042,28.6146,0.6746,46.832764
10_patch10_39_043,30.4520,0.7704,32.347168
10_patch10_39_044,29.9128,0.6945,42.719482
10_patch10_39_045,31.6085,0.7957,27.773438
10_patch10_39_046,31.7312,0.7813,28.272949
10_patch10_39_047,31.4370,0.7664,31.769775
10_patch10_40_000,28.6203,0.6599,48.028076
10_patch10_40_001,28.2613,0.7274,47.540771
10_patch10_40_002,28.3685,0.6552,52.237061
10_patch10_40_003,27.7612,0.7313,45.508301
10_patch10_40_004,29.8364,0.8114,29.458984
10_patch10_40_005,28.1923,0.6355,47.969238
10_patch10_40_006,27.0428,0.7277,49.658203
10_patch10_40_007,29.2814,0.8254,32.413574
10_patch10_40_008,28.3749,0.6669,47.845947
10_patch10_40_009,27.1077,0.7499,49.375977
10_patch10_40_010,29.2959,0.8346,31.595215
10_patch10_40_011,30.2753,0.6717,40.281006
10_patch10_40_012,28.1297,0.6630,48.711914
10_patch10_40_013,27.1673,0.7520,47.964355
10_patch10_40_014,28.8219,0.8286,30.351807
10_patch10_40_015,29.6886,0.6452,45.421631
10_patch10_40_016,28.5899,0.6679,50.781250
10_patch10_40_017,27.8543,0.7267,46.262451
10_patch10_40_018,29.8575,0.6529,43.882080
10_patch10_40_019,28.8112,0.6837,49.373535
10_patch10_40_020,27.2723,0.7404,48.418945
10_patch10_40_021,28.5233,0.7753,45.047119
10_patch10_40_022,29.5901,0.6982,42.398682
10_patch10_40_023,28.9456,0.7754,42.518799
10_patch10_40_024,29.4488,0.6483,45.699219
10_patch10_40_025,27.5105,0.6718,52.791504
10_patch10_40_026,27.4144,0.7762,45.372070
10_patch10_40_027,29.6289,0.6828,42.888184
10_patch10_40_028,27.4104,0.6742,52.605469
10_patch10_40_029,28.2602,0.7666,40.940186
10_patch10_40_030,28.1027,0.7055,45.086426
10_patch10_40_031,29.5654,0.7706,35.056396
10_patch10_40_032,28.8904,0.6471,47.078369
10_patch10_40_033,27.1635,0.7033,51.511475
