ImageName, PSNR, SSIM, MSE
02_patch02_29_001,30.0178,0.6543,42.384766
02_patch02_30_000,29.9574,0.6728,41.540527
02_patch02_30_001,28.8734,0.6162,50.971436
02_patch02_30_002,30.2081,0.6695,44.232178
02_patch02_31_000,29.4669,0.6520,44.141602
02_patch02_31_001,28.5640,0.5932,53.131348
02_patch02_31_002,31.4354,0.7121,34.974121
02_patch02_31_003,30.4982,0.6816,42.290527
02_patch02_31_004,29.9239,0.7001,41.174316
02_patch02_31_005,31.1768,0.7302,34.152832
02_patch02_31_006,30.6807,0.7048,37.779785
02_patch02_31_007,30.6115,0.6916,40.171875
02_patch02_32_000,31.4999,0.7400,31.660645
02_patch02_32_001,30.1468,0.6985,42.864258
02_patch02_32_002,29.5869,0.6611,45.702148
02_patch02_32_003,30.5497,0.7020,35.668701
02_patch02_32_004,30.3609,0.7171,38.465088
02_patch02_32_005,30.0456,0.7113,43.220947
02_patch02_32_006,30.8668,0.7353,35.697998
02_patch02_32_007,30.0523,0.6999,41.621094
02_patch02_32_008,29.9408,0.6855,45.729492
02_patch02_32_009,31.2222,0.7229,34.012207
02_patch02_32_010,30.5068,0.6971,39.300293
02_patch02_32_011,31.0364,0.7579,33.532471
02_patch02_33_000,31.4153,0.7326,33.565430
02_patch02_33_001,29.8828,0.6865,43.928467
02_patch02_33_002,31.4042,0.7398,31.686279
02_patch02_33_003,29.4125,0.6477,48.568848
02_patch02_33_004,30.7529,0.7045,36.800049
02_patch02_33_005,31.9802,0.7598,31.090820
02_patch02_33_006,30.1600,0.7035,40.735840
02_patch02_33_007,31.2212,0.7779,28.899170
02_patch02_33_008,29.3102,0.6906,46.406494
02_patch02_33_009,30.5295,0.7098,36.123779
02_patch02_33_010,29.7244,0.6761,43.221924
02_patch02_33_011,29.0309,0.6498,47.968506
02_patch02_33_012,31.1630,0.7297,32.561035
02_patch02_33_013,29.0023,0.6127,50.318115
02_patch02_33_014,30.2734,0.7013,38.745850
02_patch02_33_015,30.1313,0.6887,40.588379
02_patch02_33_016,30.1675,0.7374,34.502930
02_patch02_34_000,31.1077,0.7281,34.886230
02_patch02_34_001,30.0609,0.7004,42.493896
02_patch02_34_002,31.7053,0.7547,31.534180
02_patch02_34_003,29.4320,0.6606,45.672852
02_patch02_34_004,31.2969,0.7332,33.676025
02_patch02_34_005,31.1223,0.7407,34.154785
02_patch02_34_006,29.1413,0.6762,44.052979
02_patch02_34_007,30.2458,0.7382,32.385010
02_patch02_34_008,28.3834,0.6529,50.411377
02_patch02_34_009,30.1400,0.7198,39.211670
02_patch02_34_010,29.4815,0.6873,44.520264
02_patch02_34_011,28.9207,0.6590,50.683105
02_patch02_34_012,31.4953,0.7546,31.646729
02_patch02_34_013,29.3212,0.6493,48.650635
02_patch02_34_014,30.7016,0.7253,36.699463
02_patch02_34_015,29.7691,0.6847,43.200928
02_patch02_34_016,30.4882,0.7051,41.611084
02_patch02_34_017,31.0760,0.7697,32.879883
02_patch02_35_000,30.8544,0.7324,33.786621
02_patch02_35_001,29.6496,0.6719,45.176514
02_patch02_35_002,30.6308,0.7492,32.922119
02_patch02_35_003,30.9306,0.7349,35.108643
02_patch02_35_004,30.1300,0.6877,42.669434
02_patch02_35_005,30.1780,0.7156,36.601562
02_patch02_35_006,29.5993,0.6803,44.997803
02_patch02_35_007,30.4065,0.7529,34.464600
02_patch02_35_008,29.0341,0.6800,46.846436
02_patch02_35_009,30.1736,0.7440,36.664795
02_patch02_35_010,30.1620,0.6911,39.206299
02_patch02_35_011,29.3982,0.6765,44.565430
02_patch02_35_012,29.8221,0.7224,38.306641
02_patch02_35_013,29.3678,0.6641,45.838867
02_patch02_35_014,29.7401,0.7115,41.598389
02_patch02_35_015,29.6781,0.7151,41.652344
02_patch02_35_016,31.1993,0.7961,30.271729
02_patch02_35_017,29.6033,0.6982,43.118652
02_patch02_35_018,31.2079,0.7807,32.611328
02_patch02_36_000,31.3392,0.7583,32.333008
02_patch02_36_001,30.0571,0.7030,39.926270
02_patch02_36_002,30.5736,0.7465,31.916992
02_patch02_36_003,30.8743,0.7323,33.980469
02_patch02_36_004,29.9980,0.6867,41.930176
02_patch02_36_005,30.9065,0.7348,35.962402
02_patch02_36_006,29.3063,0.6878,43.224854
02_patch02_36_007,30.1558,0.7528,33.670898
02_patch02_36_008,28.8100,0.6635,47.148193
02_patch02_36_009,30.0258,0.7137,37.764893
02_patch02_36_010,29.3440,0.6669,43.376953
02_patch02_36_011,31.6987,0.7885,29.100342
02_patch02_36_012,29.7711,0.6900,43.794189
02_patch02_36_013,31.2269,0.7578,33.521729
02_patch02_36_014,30.0008,0.7043,41.513428
02_patch02_36_015,28.8355,0.6699,45.584961
02_patch02_36_016,30.6710,0.7785,31.715820
02_patch02_36_017,29.4457,0.7038,43.689453
02_patch02_36_018,29.6477,0.7577,38.145264
02_patch02_37_000,30.9179,0.7534,30.512451
02_patch02_37_001,30.9467,0.7167,36.289551
02_patch02_37_002,30.8998,0.7518,30.481445
02_patch02_37_003,30.1259,0.7009,37.917725
02_patch02_37_004,29.9967,0.6854,39.887451
02_patch02_37_005,30.3111,0.7217,36.155273
02_patch02_37_006,29.1711,0.6890,44.387451
02_patch02_37_007,30.1508,0.7451,33.931396
02_patch02_37_008,28.7153,0.6586,47.658691
02_patch02_37_009,30.2645,0.7301,36.558350
02_patch02_37_010,29.7247,0.7171,40.280762
02_patch02_37_011,30.5110,0.7552,34.244385
02_patch02_37_012,30.4833,0.7360,35.739746
02_patch02_37_013,30.7607,0.7146,36.327393
02_patch02_37_014,29.4318,0.7043,44.489746
02_patch02_37_015,30.0843,0.7842,31.838135
02_patch02_37_016,28.7096,0.6985,45.709229
02_patch02_37_017,30.3107,0.7765,36.097900
02_patch02_38_000,31.2346,0.7467,32.373047
02_patch02_38_001,29.0578,0.6593,42.779053
02_patch02_38_002,30.1689,0.7358,33.482666
02_patch02_38_003,30.8186,0.7222,36.104492
02_patch02_38_004,29.9391,0.6964,43.630859
02_patch02_38_005,30.3319,0.7445,35.115723
02_patch02_38_006,29.1177,0.6893,45.985107
02_patch02_38_007,29.8527,0.7630,33.768555
02_patch02_38_008,28.9985,0.7115,38.451660
02_patch02_38_009,28.8692,0.6956,40.989746
02_patch02_38_010,30.6143,0.7829,32.572998
02_patch02_38_011,31.1140,0.7467,33.938477
02_patch02_38_012,30.4833,0.7045,39.176270
02_patch02_38_013,29.2490,0.7037,43.613281
02_patch02_38_014,29.9149,0.7914,31.624268
02_patch02_38_015,28.5648,0.7035,45.427490
02_patch02_38_016,28.9815,0.7804,35.211914
02_patch02_39_000,31.2749,0.7484,32.545166
02_patch02_39_001,30.7158,0.7214,36.582031
02_patch02_39_002,30.5594,0.7632,34.166260
02_patch02_39_003,29.5796,0.7205,37.196289
02_patch02_39_004,30.3754,0.7212,38.264893
02_patch02_39_005,30.6876,0.7476,30.565918
02_patch02_39_006,30.2223,0.7223,35.842773
02_patch02_39_007,30.6990,0.7669,31.482666
02_patch02_39_008,29.1704,0.7297,36.899902
02_patch02_39_009,29.8776,0.7463,34.071533
02_patch02_39_010,29.7792,0.7259,38.603760
02_patch02_39_011,29.7238,0.7357,36.982910
02_patch02_39_012,29.0725,0.7076,42.818848
02_patch02_39_013,28.8376,0.6984,45.855713
02_patch02_39_014,28.3632,0.7528,37.415527
02_patch02_40_000,30.9256,0.7538,34.481689
02_patch02_40_001,29.5964,0.7084,41.108398
02_patch02_40_002,29.8909,0.7651,34.804199
02_patch02_40_003,29.6199,0.7395,37.035645
02_patch02_40_004,31.1567,0.7364,34.320801
02_patch02_40_005,30.3033,0.7367,37.700684
02_patch02_40_006,30.6267,0.7708,32.224609
02_patch02_40_007,29.3397,0.7028,40.077148
02_patch02_40_008,29.8625,0.6988,38.116699
02_patch02_40_009,29.6774,0.7572,32.102295
02_patch02_40_010,29.7378,0.7610,33.259033
02_patch02_40_011,28.0909,0.6848,47.547607
02_patch02_40_012,29.5607,0.7420,37.133301
02_patch02_40_013,28.3374,0.6816,45.540771
02_patch02_40_014,28.6940,0.6847,47.837402
02_patch02_40_015,29.6724,0.7906,34.682129
02_patch02_40_016,28.2317,0.7143,47.517090
02_patch02_41_000,29.9512,0.7192,35.259766
02_patch02_41_001,29.7928,0.7040,40.140137
02_patch02_41_002,29.4730,0.7382,33.102295
02_patch02_41_003,28.7981,0.6965,40.381348
02_patch02_41_004,31.1150,0.7544,32.551514
02_patch02_41_005,29.9952,0.7147,38.659668
02_patch02_41_006,29.8673,0.7945,33.791992
02_patch02_41_007,28.4807,0.7056,44.135254
02_patch02_41_008,30.4825,0.7561,34.875732
02_patch02_41_009,29.9509,0.7271,37.014160
02_patch02_41_010,28.0148,0.6917,44.956299
02_patch02_41_011,29.0455,0.7671,32.821777
02_patch02_41_012,27.1624,0.6660,51.105225
02_patch02_41_013,29.9622,0.7571,35.968262
02_patch02_41_014,28.9373,0.7165,41.114746
02_patch02_41_015,28.1268,0.7109,47.842041
02_patch02_41_016,29.4646,0.7699,34.743896
02_patch02_41_017,27.6343,0.6791,52.798096
02_patch02_42_000,30.7169,0.7156,35.505371
02_patch02_42_001,29.1195,0.6899,42.015625
02_patch02_42_002,30.0101,0.7535,32.499023
02_patch02_42_003,30.2780,0.7276,35.430420
02_patch02_42_004,30.2196,0.7305,35.256104
02_patch02_42_005,30.5086,0.7822,31.276123
02_patch02_42_006,30.4793,0.7504,33.355957
02_patch02_42_007,29.7112,0.7405,36.808594
02_patch02_42_008,28.5153,0.7157,46.651367
02_patch02_42_009,30.8083,0.7641,33.545166
02_patch02_42_010,28.5774,0.6766,49.852051
02_patch02_42_011,30.1105,0.7442,39.642090
02_patch02_42_012,27.6856,0.7247,42.357910
02_patch02_42_013,26.7281,0.7162,48.060791
02_patch02_42_014,29.6531,0.7863,35.744385
02_patch02_42_015,28.2520,0.7208,48.936279
02_patch02_43_000,29.3135,0.7435,37.160156
02_patch02_43_001,27.6277,0.6968,44.093994
02_patch02_43_002,32.2853,0.7774,26.544434
02_patch02_43_003,28.5688,0.6740,45.032227
02_patch02_43_004,30.5106,0.7456,35.437012
02_patch02_43_005,29.9152,0.7245,36.119629
02_patch02_43_006,29.3972,0.7018,40.456299
02_patch02_43_007,30.6712,0.7709,32.713135
02_patch02_43_008,28.9722,0.6987,44.450684
02_patch02_43_009,30.3362,0.7451,33.305908
02_patch02_43_010,30.3642,0.7504,35.044434
02_patch02_43_011,28.6446,0.7374,44.780029
02_patch02_43_012,30.3995,0.7630,33.060547
02_patch02_43_013,28.1483,0.7022,51.161377
02_patch02_43_014,29.8762,0.7478,36.718262
02_patch02_43_015,28.4314,0.6738,50.125977
02_patch02_43_016,28.1637,0.7316,41.307129
02_patch02_43_017,27.0912,0.6855,49.109375
02_patch02_43_018,28.9790,0.7450,37.946045
02_patch02_43_019,27.3675,0.6659,51.839111
02_patch02_44_000,29.5665,0.7564,38.788086
02_patch02_44_001,28.2218,0.7191,47.488037
02_patch02_44_002,31.6291,0.7694,31.560791
02_patch02_44_003,28.4893,0.6915,49.951660
02_patch02_44_004,30.5611,0.7508,37.080811
02_patch02_44_005,29.3143,0.7223,40.021484
02_patch02_44_006,30.3265,0.7703,33.065430
02_patch02_44_007,29.1575,0.7253,40.696289
02_patch02_44_008,30.0797,0.7494,31.279785
02_patch02_44_009,28.5653,0.7016,43.166016
02_patch02_44_010,29.8485,0.7431,31.958984
02_patch02_44_011,28.6362,0.6848,42.827393
02_patch02_44_012,29.5903,0.7391,36.833252
02_patch02_44_013,28.3959,0.7064,46.578125
02_patch02_44_014,30.6782,0.7720,33.624268
02_patch02_44_015,27.7554,0.6940,53.716064
02_patch02_44_016,29.7255,0.7626,37.766846
02_patch02_44_017,28.4414,0.7038,47.347412
02_patch02_44_018,28.2537,0.7343,40.459961
02_patch02_44_019,27.5658,0.7051,45.582520
02_patch02_44_020,29.0365,0.7751,35.051025
02_patch02_44_021,27.0312,0.6899,53.313477
02_patch02_45_000,29.4381,0.7707,36.006348
02_patch02_45_001,28.2324,0.7239,47.000977
02_patch02_45_002,30.1116,0.7514,32.812988
02_patch02_45_003,27.7906,0.6868,51.209961
02_patch02_45_004,29.6659,0.7426,38.537354
02_patch02_45_005,29.0083,0.6977,43.768555
02_patch02_45_006,30.2854,0.7601,35.451904
02_patch02_45_007,28.8317,0.7060,45.221191
02_patch02_45_008,30.4686,0.7671,31.186035
02_patch02_45_009,28.3909,0.6815,49.061035
02_patch02_45_010,29.7773,0.7345,36.134521
02_patch02_45_011,28.5774,0.6772,45.352295
02_patch02_45_012,28.6187,0.7009,44.060547
02_patch02_45_013,28.3511,0.7103,47.865967
02_patch02_45_014,30.2123,0.7801,33.735596
02_patch02_45_015,28.0076,0.6982,53.503418
02_patch02_45_016,29.4984,0.7540,36.923096
02_patch02_45_017,28.2602,0.6749,50.190430
02_patch02_45_018,29.2104,0.7451,40.427490
02_patch02_45_019,28.6333,0.7109,46.698242
02_patch02_45_020,29.3802,0.7931,32.875244
02_patch02_45_021,27.1341,0.7091,51.795898
02_patch02_45_022,29.7605,0.6792,43.149658
02_patch02_46_000,29.2814,0.7510,37.225098
02_patch02_46_001,26.8781,0.7016,50.873779
02_patch02_46_002,30.1958,0.7640,32.220947
02_patch02_46_003,26.9676,0.6464,56.837402
02_patch02_46_004,29.5109,0.7079,38.776611
02_patch02_46_005,28.4374,0.6527,52.621338
02_patch02_46_006,28.7654,0.6890,44.780762
02_patch02_46_007,29.1550,0.6759,47.429199
02_patch02_46_008,29.9828,0.7633,33.532715
02_patch02_46_009,28.1099,0.7123,46.545410
02_patch02_46_010,28.8342,0.7277,43.798096
02_patch02_46_011,28.6805,0.6949,46.861816
02_patch02_46_012,30.8467,0.7762,30.945068
02_patch02_46_013,28.4964,0.6839,50.052246
02_patch02_46_014,29.7952,0.6919,43.476807
02_patch02_46_015,30.1616,0.7521,34.774658
02_patch02_46_016,28.4694,0.6715,48.812256
02_patch02_46_017,29.9213,0.7428,38.775879
02_patch02_46_018,28.7668,0.7179,45.128174
02_patch02_46_019,31.0631,0.7932,32.218750
02_patch02_46_020,28.1786,0.7056,52.093750
02_patch02_46_021,29.1181,0.6865,43.664795
02_patch02_46_022,29.6670,0.7677,38.832520
02_patch02_46_023,28.4550,0.6872,48.557129
02_patch02_46_024,28.0224,0.7303,47.214600
02_patch02_46_025,29.0213,0.6917,42.835205
02_patch02_46_026,28.3275,0.7276,46.571533
02_patch02_46_027,29.3220,0.6819,42.449219
02_patch02_46_028,29.5453,0.7851,34.577881
02_patch02_46_029,27.8195,0.7247,51.369873
02_patch02_46_030,29.5452,0.6845,44.829346
02_patch02_47_000,29.0189,0.7498,37.381836
02_patch02_47_001,27.9475,0.7258,45.185303
02_patch02_47_002,28.3884,0.6883,52.741699
02_patch02_47_003,29.9724,0.7213,38.752197
02_patch02_47_004,28.3564,0.6615,51.062744
02_patch02_47_005,28.7104,0.7156,46.944824
02_patch02_47_006,28.3079,0.6842,50.128906
02_patch02_47_007,28.8365,0.7308,40.314209
02_patch02_47_008,27.9853,0.6926,55.281982
02_patch02_47_009,29.4744,0.7204,44.390381
02_patch02_47_010,28.5719,0.7046,44.655273
02_patch02_47_011,28.7478,0.6392,50.194580
02_patch02_47_012,31.2311,0.7730,32.349609
02_patch02_47_013,29.2333,0.6939,46.954590
02_patch02_47_014,29.9971,0.6719,43.006592
02_patch02_47_015,29.8614,0.7500,34.446045
02_patch02_47_016,27.9346,0.6844,48.683838
02_patch02_47_017,30.7077,0.7043,37.934814
02_patch02_47_018,29.5568,0.7353,38.823242
02_patch02_47_019,28.6777,0.6847,43.979492
02_patch02_47_020,28.3496,0.6972,47.711182
02_patch02_47_021,29.8766,0.7488,34.274658
02_patch02_47_022,27.3471,0.7144,51.589844
02_patch02_47_023,29.1965,0.7002,44.115723
02_patch02_47_024,29.0799,0.7564,38.118896
02_patch02_47_025,27.4601,0.7002,51.950195
02_patch02_47_026,28.6369,0.7330,44.499268
02_patch02_47_027,28.3660,0.6873,50.541992
02_patch02_47_028,28.8536,0.7188,45.606201
02_patch02_47_029,28.5053,0.6495,51.362549
02_patch02_47_030,28.2561,0.6931,53.031982
02_patch02_47_031,28.9435,0.6610,48.870361
02_patch02_48_000,30.3285,0.7636,35.975098
02_patch02_48_001,27.7830,0.7102,48.712646
02_patch02_48_002,27.3550,0.6474,53.932373
02_patch02_48_003,29.7602,0.7362,37.840820
02_patch02_48_004,27.5926,0.6284,54.818604
02_patch02_48_005,27.8673,0.7173,48.504150
02_patch02_48_006,27.4499,0.6545,53.724854
02_patch02_48_007,29.5209,0.7577,33.671143
02_patch02_48_008,27.5742,0.6902,52.300049
02_patch02_48_009,29.2095,0.7109,43.693604
02_patch02_48_010,28.8657,0.6883,40.808350
