Epoch	TrainLoss	ValidLoss	PSNR	PSNR_std	SSIM	SSIM_std	NRMSE	NRMSE_std
83	0.49864490	0.06809803	31.177	2.449	0.959	0.020	0.029	0.008
84	0.49950412	0.06603371	32.114	2.614	0.967	0.015	0.026	0.008
85	0.49901988	0.07171141	32.019	2.871	0.966	0.016	0.027	0.009
86	0.49957350	0.06996067	31.601	2.731	0.964	0.018	0.028	0.009
87	0.49764222	0.07190594	30.894	2.847	0.952	0.025	0.030	0.010
88	0.49772413	0.06455820	31.388	2.537	0.962	0.020	0.028	0.008
89	0.49848353	0.06366653	31.610	2.515	0.965	0.017	0.027	0.008
90	0.49927555	0.06771151	31.463	2.482	0.964	0.018	0.028	0.008
91	0.49973654	0.06740008	31.468	2.435	0.962	0.017	0.028	0.008
92	0.49818864	0.06714560	31.569	2.603	0.963	0.017	0.028	0.009
93	0.49874759	0.06436406	31.494	2.496	0.963	0.016	0.028	0.008
94	0.49910843	0.07058287	31.297	2.398	0.964	0.016	0.028	0.008
95	0.49884999	0.06894422	31.296	2.709	0.960	0.019	0.029	0.009
96	0.49799229	0.06805709	31.251	2.590	0.960	0.019	0.029	0.009
97	0.49952741	0.07474476	30.632	2.804	0.952	0.025	0.031	0.010
98	0.49741801	0.06801515	31.450	2.516	0.964	0.017	0.028	0.009
99	0.49812958	0.06538877	31.262	2.709	0.958	0.020	0.029	0.009
100	0.49766873	0.06994285	31.573	2.690	0.965	0.018	0.028	0.009
101	0.49798656	0.06634321	31.257	2.482	0.960	0.019	0.029	0.008
102	0.49876770	0.06777415	31.198	2.746	0.958	0.022	0.029	0.009
103	0.49759211	0.06919886	31.519	2.464	0.966	0.015	0.028	0.008
104	0.49957372	0.06889433	31.227	2.638	0.961	0.019	0.029	0.009
105	0.49887963	0.06741274	31.101	2.751	0.957	0.021	0.029	0.009
106	0.49758648	0.06854199	31.106	2.783	0.958	0.020	0.029	0.009
107	0.49794939	0.06882815	31.562	2.547	0.965	0.016	0.028	0.008
108	0.50081049	0.07064899	31.036	2.542	0.959	0.020	0.029	0.009
109	0.49755122	0.06963034	31.319	2.721	0.960	0.020	0.029	0.009
110	0.49902568	0.06878191	31.241	2.601	0.958	0.021	0.029	0.009
111	0.49777005	0.07008243	31.052	2.757	0.957	0.023	0.029	0.009
112	0.49820605	0.06582713	31.518	2.642	0.963	0.018	0.028	0.009
113	0.49780116	0.06879261	30.803	2.756	0.955	0.023	0.030	0.010
114	0.49912257	0.07131820	31.413	2.660	0.962	0.020	0.028	0.009
115	0.49773535	0.06560026	31.336	2.496	0.961	0.018	0.028	0.009
116	0.49900657	0.06795935	31.192	2.720	0.959	0.020	0.029	0.009
117	0.49875976	0.06872878	31.070	2.735	0.958	0.021	0.029	0.009
118	0.49822986	0.06714842	31.391	2.528	0.964	0.017	0.028	0.009
119	0.49865536	0.06763681	31.012	2.664	0.959	0.020	0.030	0.009
120	0.49892379	0.06968310	31.315	2.730	0.961	0.020	0.029	0.009
121	0.49843849	0.06998711	30.977	2.836	0.956	0.024	0.030	0.010
122	0.49779694	0.06892410	31.223	2.709	0.960	0.021	0.029	0.009
123	0.49808986	0.06922297	31.334	2.722	0.959	0.020	0.028	0.009
124	0.49782898	0.06927502	31.332	2.654	0.960	0.019	0.028	0.009
125	0.49768429	0.07024828	31.127	2.673	0.959	0.020	0.029	0.009
126	0.49798156	0.06912193	31.155	2.741	0.957	0.022	0.029	0.009
127	0.49787595	0.06739308	31.403	2.693	0.963	0.019	0.028	0.009
128	0.49715725	0.06998528	31.017	2.699	0.956	0.022	0.030	0.009
129	0.49786822	0.07064219	31.314	2.663	0.962	0.019	0.029	0.009
130	0.49673004	0.06771905	31.205	2.709	0.960	0.020	0.029	0.009
131	0.49812275	0.07090469	31.086	2.629	0.960	0.020	0.029	0.009
132	0.49749044	0.06953009	31.206	2.532	0.963	0.018	0.029	0.009
133	0.49817727	0.06723862	31.188	2.708	0.959	0.021	0.029	0.009
134	0.49721581	0.06844424	31.143	2.652	0.960	0.020	0.029	0.009
135	0.49854027	0.06631989	31.155	2.562	0.960	0.019	0.029	0.009
136	0.49780630	0.06657644	31.115	2.639	0.958	0.020	0.029	0.009
137	0.49813858	0.06794514	31.303	2.645	0.962	0.018	0.029	0.009
138	0.49907437	0.06937905	30.966	2.609	0.956	0.020	0.030	0.009
139	0.49829355	0.06856985	31.045	2.672	0.957	0.021	0.029	0.009
140	0.49765831	0.06926777	31.242	2.653	0.961	0.019	0.029	0.009
141	0.49766364	0.06709633	31.091	2.678	0.958	0.020	0.029	0.009
142	0.49774169	0.06773944	31.191	2.742	0.960	0.020	0.029	0.009
143	0.49884497	0.06875004	31.135	2.757	0.959	0.020	0.029	0.009
144	0.49800173	0.06824706	31.117	2.709	0.960	0.020	0.029	0.009
145	0.49858892	0.06835460	31.208	2.726	0.959	0.020	0.029	0.009
146	0.49851491	0.06616645	31.157	2.757	0.957	0.021	0.029	0.009
147	0.49860204	0.06993364	31.106	2.786	0.959	0.021	0.029	0.009
148	0.49798668	0.06804658	31.090	2.758	0.958	0.021	0.029	0.009
149	0.49792076	0.06753858	31.287	2.685	0.961	0.019	0.029	0.009
150	0.49820056	0.06826707	30.797	2.655	0.955	0.022	0.030	0.009
