ImageName, PSNR, SSIM, MSE
phantomFrame000,34.8394,0.9086,9.946533
phantomFrame001,35.8005,0.9365,7.445068
phantomFrame002,36.3876,0.9431,7.642151
phantomFrame003,36.0848,0.9410,7.502258
phantomFrame004,35.9408,0.9465,7.839111
phantomFrame005,34.8714,0.9312,8.446411
phantomFrame006,35.1503,0.9362,8.707214
phantomFrame007,35.8146,0.9525,8.405151
phantomFrame008,36.0080,0.9501,8.741150
phantomFrame009,35.1809,0.9518,8.942749
phantomFrame010,34.9978,0.9495,9.557373
phantomFrame011,33.9634,0.9377,10.434204
phantomFrame012,34.0595,0.9291,11.487854
phantomFrame013,34.7981,0.9485,10.119446
phantomFrame014,33.9451,0.9490,10.778442
phantomFrame015,33.6504,0.9467,11.619324
phantomFrame016,33.6937,0.9307,12.528809
phantomFrame017,33.1471,0.9350,12.614014
phantomFrame018,32.7272,0.9268,13.171387
phantomFrame019,33.2530,0.9266,13.901611
phantomFrame020,33.0491,0.9286,13.989258
phantomFrame021,32.8622,0.9319,12.827576
phantomFrame022,33.5279,0.9304,14.328186
phantomFrame023,31.2352,0.8537,18.834961
phantomFrame024,32.1437,0.8810,18.192993
phantomFrame025,29.1394,0.8350,20.822998
phantomFrame026,29.0386,0.8775,19.371216
phantomFrame027,28.8337,0.8607,20.401184
phantomFrame028,28.2339,0.8427,22.436096
phantomFrame029,28.3253,0.8495,21.478882
phantomFrame030,28.0931,0.8820,20.496704
phantomFrame031,28.1964,0.8766,21.376099
phantomFrame032,27.6370,0.8467,22.994629
phantomFrame033,27.8221,0.8594,22.647766
phantomFrame034,27.4563,0.8329,23.879700
phantomFrame035,27.7079,0.8461,24.195374
phantomFrame036,27.2662,0.8325,24.309021
phantomFrame037,27.4986,0.8463,23.904785
phantomFrame038,27.4205,0.8234,25.080078
phantomFrame039,27.6473,0.8059,25.792053
phantomFrame040,28.1058,0.8522,23.390503
phantomFrame041,28.0056,0.8533,24.097351
phantomFrame042,28.0404,0.8441,23.540283
phantomFrame043,28.4210,0.8619,22.035828
phantomFrame044,28.1473,0.8223,24.073730
phantomFrame045,29.9209,0.8732,20.923035
phantomFrame046,30.9344,0.8702,22.203308
phantomFrame047,31.4412,0.8806,20.504944
phantomFrame048,32.1308,0.9206,18.310486
phantomFrame049,31.7913,0.9188,17.031921
phantomFrame050,32.1552,0.9321,16.666138
phantomFrame051,32.5071,0.9433,16.537354
phantomFrame052,32.2250,0.9158,17.503235
phantomFrame053,31.9452,0.9373,16.408508
phantomFrame054,32.8476,0.9417,15.222290
phantomFrame055,32.5363,0.9432,15.855713
phantomFrame056,32.2386,0.9332,16.068665
phantomFrame057,32.3975,0.9276,16.814270
phantomFrame058,32.3327,0.9245,16.174561
phantomFrame059,32.7296,0.9328,14.980103
phantomFrame060,32.9152,0.9396,15.060730
phantomFrame061,33.0991,0.9424,14.307312
phantomFrame062,33.0044,0.9444,14.275452
phantomFrame063,33.7759,0.9519,13.382690
phantomFrame064,33.3735,0.9548,13.326233
phantomFrame065,33.3044,0.9545,12.758850
phantomFrame066,33.5474,0.9483,13.542969
phantomFrame067,34.5889,0.9532,12.244873
phantomFrame068,34.1687,0.9496,12.712952
phantomFrame069,33.9094,0.9499,12.714050
phantomFrame070,33.5799,0.9492,12.734558
phantomFrame071,33.7012,0.9498,12.824219
phantomFrame072,34.6822,0.9596,11.295837
phantomFrame073,33.6503,0.9502,12.541809
phantomFrame074,33.8717,0.9510,11.928650
phantomFrame075,34.3266,0.9530,11.824158
phantomFrame076,35.0708,0.9644,9.948853
phantomFrame077,34.6347,0.9576,11.273438
phantomFrame078,33.9166,0.9470,12.529358
phantomFrame079,34.2509,0.9526,11.090088
phantomFrame080,34.3177,0.9572,10.357544
phantomFrame081,35.1961,0.9568,10.435974
phantomFrame082,35.0662,0.9541,10.532776
phantomFrame083,34.7790,0.9541,11.057861
phantomFrame084,35.0988,0.9505,11.131409
phantomFrame085,35.1156,0.9600,9.631958
phantomFrame086,35.6411,0.9551,8.959595
phantomFrame087,35.3444,0.9513,9.557739
phantomFrame088,35.0973,0.9441,10.388550
phantomFrame089,34.5228,0.9433,10.669861
phantomFrame090,34.9315,0.9519,9.030029
phantomFrame091,35.1130,0.9538,9.143860
phantomFrame092,35.7871,0.9517,9.560303
phantomFrame093,35.4008,0.9617,8.468689
phantomFrame094,35.0794,0.9383,9.408875
phantomFrame095,35.8858,0.9456,8.487305
phantomFrame096,36.0101,0.9442,8.389526
phantomFrame097,36.6258,0.9496,7.360413
phantomFrame098,36.3647,0.9501,7.158508
phantomFrame099,35.8817,0.9377,7.925171
phantomFrame100,36.2179,0.9410,7.752869
phantomFrame101,36.6771,0.9440,6.600586
